stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,199.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.6,153.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,33.15,0,0,0,0,0,0,9.48,0,0,0,0,0,0,0,0,228.84,0,0,45.3,0,0,0,0,0,0,0
 10-12,0,20.71,11.27,0,0,16.4,0,0,0,3.42,0,0,0,0,0,0,0,0,213.05,12.48,0,79,0,0,0,0,0,0,0
 14-21,0,0,0,4.34,2.62,2.18,0,2.3,0,0,0,0,0,0,0,4.43,0,2.14,15.17,2.18,0,0.87,0.87,2.99,0.94,4.65,10.2,0,0
 24-34,0,0,0,0,0,0.61,0.61,1.47,0,0,0,0,0,0,0,2.04,0,3.58,9.56,0,0,0,0,0,0,0.68,15.77,0,0
 36-46,0,0,0,0,0,1.32,0,3.63,0,0,0,0,0,0,5.93,2.86,0.56,2.19,8.01,0,0,0,0,0,0,0,0.66,1.77,0.65
 48-58,0,0,0,0,0,0.48,0,3.06,0,0,0,0.37,0,0,0,5.38,0,1.56,7.27,0,0,0,0,0,0,0,4.06,0,2.58
 60-70,0,0,0,0,0,0.92,0,4.85,0,0,0,5.95,1.37,0,0,2.58,1.09,0,0,1.45,0,0,0,0,0,0,1.78,3.08,0
 72-82,0,0,0,0.67,0,0.54,0.93,6.68,0,0,0,2.48,0,0,0,13.93,0,0,0.59,0.56,0,0,0,0,0,0,1.08,1.67,0
 84-94,0,0,0,1.76,0,4.17,0,4.88,0.76,0,0,0.71,0,0,0,9.99,1.06,0,1.7,0,0,0,0.6,0,0,0,0,0,0
 96-106,0,0,0,0.61,0,1.62,0,2.52,0,0,0,0.62,0,1.02,0,1.4,0.92,0,5.86,0.91,0,0,0,0,0,0,0.84,0,5.68
108-118,0,0,0,0,6.28,1.28,1.92,6.81,0,0,0,0.75,0,0,0,8.74,0,0,2.07,0,0.79,0,0,0,0,0,0,0.5,0
120,0,0,0,0,0,1.01,5.57,0,0,0,1.61,3.37,0,0,0,16.37,0,0,4.95,0,0,0,0,0,0,0,1.34,0,0
