stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,37.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.04,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,140.77,0,0,0,15.26,0,0,0,0,0,0,0,0,0
 10-12,28.38,0,0,0,0,49.19,0,0,0,0,0,0,0,0,0,0,0,0,0,108.08,0,0,0,0,0,0,0,4.75,0,0,0,0,0
 14-21,0,0,1.76,6.19,0,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82,1.65,0,0,0,0,1.06,0.89,0.92,2.92,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,0.88,0,0,0,0,0,0,0,1.23,1,0,0.78,20.59,2.4,0,0,0,0,0,0,0,2.94,0,0,0,0
 36-46,0,1.4,0,0,0,10.14,2.79,0,0,0,0.73,0,0,0,0,0,0,0,0,109.02,0,0,0,0,1.48,0,0,0,13.14,0,0,0,0
 48-58,0,0,0,0,0.6,21.14,0,1.35,5.47,0,0.61,0,0,0,0,0,3.25,0,0,297.86,0,0,0,0,0,0,0,0,32.35,0,0,0,0
 60-70,0,0,0,0,0,247.78,0,0,11.77,0,1.17,0,0,0.8,0,0,9.12,0,2.45,691.01,0,1.7,0,0,1.8,0.85,0,0,93.17,0,0,0,0
 72-82,0,1.14,0,5.47,2.1,513.54,0,0.57,20.95,4.05,1.6,0,0,0,0,0,22.36,0,2.12,1113.87,0,0,0.5,0,1.3,0,0,0,109.57,3.98,0,1,1.25
 84-94,0,1.18,0,5.4,0.64,418.34,0,0,14.15,0,1.96,0,0,0,2.93,0,5.54,2.23,9.91,838.72,0,0,2.3,0,10.6,0,0,0,29.47,0.56,0.63,1.75,4.82
 96-106,0,0,0,5.49,6.95,548.13,0.7,3.14,24.04,1.73,3.55,0.75,1.18,6.18,0,0,20.45,0,0,837.25,0.97,0.92,2.65,0,0,0,0,0,38.14,0,0,2.1,6.14
108-118,0,0,0,1.62,5.4,592.46,0,0,42.25,0,0.65,0,0,0.6,0,0.9,22.82,0,0,1351.58,0,0,1.37,0,0,0,0,0,16.48,1.47,0,2.4,1.39
120,0,0,0,16.88,27.69,520.93,0,0,71.3,0,7.27,0,0,3.18,0,0,45.79,0,0,2268.82,0,2.28,18.17,0,1.05,0,0,0,56.24,2.41,0,1.66,2.27
