stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,21.12,0,0,0,0,0,0,0
 14-21,0,2.51,0,0.87,0,0,0,0,0,0,8.65,0,0,0,7.54,0,0,0
 24-34,0,3.25,0,0,0,0,0,0,0,0.61,53.71,0.63,0,0,26.88,0,0,0
 36-46,0,0,0,8.46,0,0.72,0.8,0,0,2.94,204.69,8.91,0,0,59.95,0,0,0
 48-58,0,2.07,0,58.85,0,0,0.45,0,0.97,0,240.91,10.61,0,0.43,48.58,0,0,0
 60-70,0,1.39,0,180.79,0.99,0,5.16,0,2.39,0,296.2,5.69,1.58,0,57.68,0,3.76,0
 72-82,0,1.9,0.98,132.62,0.68,0,4.91,0,0.92,0,227.13,4.62,1.72,0,38.83,0,0,0
 84-94,0,0,0,118.88,0,0,0.58,1.7,1.97,0,176.77,11.29,7.98,0,24.19,0.97,0,0
 96-106,0,0,0,83.45,0,0,4.32,3.5,3.16,0,121.4,11.47,3.94,0,5.75,4.21,0,0
108-118,0,1.98,0,88.51,0,0,9.72,1.28,0,0,137.18,9.82,12.83,0,6.77,1.95,0,1.19
120,0,0,0,84.64,0,0,20.62,9.88,12.25,2.57,207.93,11.74,1.05,2.39,2.03,2.24,0,0
