stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.36,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.04,0,0,0,0,0,0,0
  5-6,6.06,95.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.87,0,0,0,0,0,0,0
  7-9,4.39,0,0,0,0,0,0,9.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.31,0,0,0,39.74,21.77,0,0,0,0,0,0,0
 10-12,0,0,0,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,0,0,0,23.14,12.88,11.26,0,0,0,0,0,0
 14-21,0,0,0,0,11.09,0,0,0.99,0,0.87,0,1.01,0,1.9,0,0,0,0,0.97,0,0,0,0,0.93,71.69,0,0,0,0,286.13,0,0.85,20.75,0,0,0,0
 24-34,0,0,0,0.76,2.89,0,0,12.14,0,5.85,0,2.74,0,0,0.6,1.75,0,0,0,0,4.93,0,0,1.51,60.71,0,2.32,1.32,0,250.17,0,0,3.63,0,0,0.6,0
 36-46,0,0,0,0,1.65,0,0,13.09,0,11,0,2.1,0,0,14.72,2.56,0,0,0,1.15,2.02,0,0,0,43.57,0,2.02,3.15,0,256.6,0,0,0.72,0,0,0,0
 48-58,0,0,0.54,0,0,0,0,13.15,0,3.15,0.64,2.26,0,0,0,0.78,0,1.93,0.42,3.1,2.26,2.33,0,0,39.36,1.7,2.24,0.8,0,177.73,0,0,1.88,0,0,0.48,0
 60-70,0,0,0,0,8.17,0,0,29.97,0,8.16,0,5.99,1.7,0,0.99,0,0,0,0,0,1.91,0.73,0,0,21.87,0,0,0.63,0,52.39,0,0,0.79,0,0,0,0
 72-82,0,0,3.48,0,3.86,0,0.51,15.97,0.75,1.37,0.94,28.21,9.82,0,0,2.98,0,0,24.69,0,18.65,0,0,0,32.71,0.52,0.97,9.44,0,10.43,0.51,0,2.81,0.92,0,7.83,0
 84-94,0,0,0,0,7.45,5.27,1.52,14.36,0,9.58,0,69.17,30.24,0,0.97,0.56,0,0,48.58,0,9.62,0,0,0,53.84,0.83,0,18.34,0,38.26,0,0,7.07,1,0,2.38,0
 96-106,0,0,2.82,0.69,4.12,0,0,10.82,0,5.34,0,28.39,6.26,0,0,0,0,0,36.96,0,25.78,0.71,0.66,0,37.52,2.32,1.03,17.91,0,17.11,0,0,0,1.33,2.52,0,0.61
108-118,0,0,0,0,13.59,0,12.42,43.03,0.67,3.79,0,70.23,29.28,0,2.9,1.29,0.73,0.43,309.14,0,18.54,0,0,0.55,99.2,0.47,0.94,10.08,0,40.14,0,0,1.42,7.76,0,0.6,0
120,0,0,0,0,5.32,7.16,0,12.82,0,0,0,41.63,0,0,0,0,0,0,0,0,13.46,0,10.53,0,43.06,0,0,16.96,0,10.72,0,0,4.39,0,0,7.76,0
