stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,periderm,spinal.cord
  3-4,25.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,17.43,0,0,0
 14-21,0,0,0.82,0,0,1.2,0,0,0,12.04,0,0,3.35
 24-34,0,0,2,1.4,0.98,0.61,0,1.98,0,40.75,0,0,13.81
 36-46,0,0,0,0,4.07,2.48,0,0,0,52.54,0,0,13.67
 48-58,0,0,0,0,4.47,0.77,0,1.19,0,55.95,0,0,18.22
 60-70,0,0,0,0,14.98,3.61,4.52,0,0,90.87,0,0,20.04
 72-82,0,0,0,0,39.76,5.87,0,0,0,105.73,0.71,0,10.98
 84-94,0,0,0.71,0,34.13,10.77,0,1.62,0,52.06,0,0,0
 96-106,0,0,0,0,40.15,9.98,0,2.45,0,91.51,0,0,4.04
108-118,0,0,0,0,31.3,8.82,0,1.28,0.81,40.71,0,0.46,2.28
120,0,0,0,0,10.53,0,0,0,0,59.29,0,0,2.78
