stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,xanthophores
  5-6,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,32.98,0,0,16.06,0,0,0,0,0,0,0,0,0,0,4.25,0,0,3.82,0,0,0,0,0
 10-12,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0.87,16.9,1.37,0,0,0,0,4.02,1.05,0
 24-34,0,0,0,0.81,2.24,0,1.67,0,0,0,0,0,0,3.45,1.69,179.82,2.95,0,0,0,1.69,7.06,0,0
 36-46,0,0,0,0,11.41,0,0,0,0,0,0,0,0,2.28,1.48,781.05,4.27,0,0,1.89,0,5.72,0,0
 48-58,0,0,13.53,1.4,29.17,0,7.29,0,0,0,0,0,0,7.14,0,1249.58,2.12,0,0,3.11,0,23.85,2.3,0
 60-70,0,0,2.37,0,84.04,0,2.21,0,0,0,0,0,2.19,11.49,0,1516.58,1.42,1.25,0,7.68,0,19.17,0,8.53
 72-82,0,0,3.69,0,45.31,1.31,20.12,0.97,0,0,0,0.72,0,11.37,0,1596.38,2.23,2.13,0,0,0,14.03,0,3.92
 84-94,0,1,6,0.68,49.41,0,15.83,0,0,0.73,0.75,0,0,3.66,0,787.23,0,8.79,0,0,1.09,23.02,0,0
 96-106,0,0,4.09,0,31.4,0,11.47,0,0,0,0,0,0,8.28,0,911.01,0.93,13.11,0,0,1.05,2.52,0,4.01
108-118,0,0,6.26,0,45.77,0,8.38,0,0,0,0,0,0,4.83,1.88,983.47,0,10.25,0,0.42,0,0,0,0
120,0,0,1.75,0,34.27,0,22.6,0,0,0,0,0,0,0,0,1732.74,0,5.63,0,0,0,8.24,0,0
