stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,8.04,0,0,0,7.43,0,0,0,0,0
 10-12,0,0,0,3.74,0,0,0,0,0,0,8.97,0,0,0,6.78,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.05,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0
 48-58,0,0,0,1.01,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0.54
 60-70,0,0,0,81.86,0,0,0,0,0,0,4.77,0,0,0.76,0,0,0,0,0,0
 72-82,0,0,0,274.35,0,0,2.05,0,0,1.1,24.5,0,0,0,0,0,0,0,0.61,3.5
 84-94,0,0,0,262.42,0,1.74,2.88,0,0,5.84,1.94,0,0,0,0,0,0,0,0,0
 96-106,0,0.57,0,333.28,0,0,1.29,0,0,2.08,6.42,0,0,0,0,4.09,0,0,0,0
108-118,0,1.92,1.25,441.27,1.06,0,1.76,0.43,1.4,0.46,25.01,2.09,1.35,0,0,7.58,0,0.85,1.93,0.5
120,0,2.88,0,421.58,0,0,0,0,0,0,80.2,0,0,9.06,0,0,0,0,0,0
