stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,5.89,0,0,0,0,0
 14-21,1.75,1.66,0,0,0,0,0,0,0,2.15,0,1.72,0,0,0,1.02,0,0,0,0
 24-34,0,0.66,0,0,0,0,0,0,1.09,8.38,0.65,10.04,0,0,0,0,0,0,0,0
 36-46,1.93,0.67,0,0,1.19,0,0,0.56,0,13.44,3.35,1.71,0.6,0,0,2.29,0,0,0,0
 48-58,0,0,0,3.19,0,0.62,0,0,0,7.38,0,1.63,0,0,0,0.71,0,0.71,0,2.33
 60-70,4.51,0,0.95,6.27,0,0.73,0,0,0,21.13,0,4.55,0,0,0,0,0.99,0,0,0
 72-82,1.12,0,0,8.38,0,2.4,0,0,0,6.64,1.07,6.51,0,0,0,0.54,2.01,0,0,0.99
 84-94,6.92,0,3.24,4.23,0,0,0,0,0,26.74,1.09,0,0,0,0,0,0,1.75,5.55,0
 96-106,16.24,0,0,18.47,0,2.45,0,0,0,12.76,0,0.95,0,0,0,0,0,0,1.89,0
108-118,3.15,0,0.75,2.49,0,1.39,0.47,0.73,1.27,16.3,4.43,0,0,0,0,0.83,0,0,0,1.68
120,3.6,0,0,4.17,0,0,0,0,0,16.35,2.24,14.16,0,2.56,0,0,0,1.48,0,0
