stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,0,0
 14-21,3.44,2,0,0,1.41,0,1.72,0,0,0,28.41,0.87,0,0,0,0,1.96,0.95,5.37,0,0
 24-34,0.61,2.3,0,0,0,0,3.4,0,0,0,15.82,0,0.75,0,0,0,0,0,14.22,0,0
 36-46,0,6.14,0,0,0,0,2.73,0,0,1.22,16.82,0,0,0,0,0,0,0,12.19,4.6,0
 48-58,0.4,5.58,0,0,0,0,3.46,0,0.54,0.47,29.56,0,0,0,0,0,0,0,3.17,1.34,0
 60-70,0,11.94,1.4,0,0.65,0,1.71,0,0,0,27.07,0,0,0,0,0,0,0,1.29,0,0
 72-82,0,17.51,0,0.8,3.94,0,1.32,3.05,0.72,0,31.21,0,0,1.02,0,0,0,0,9.51,2.77,1.25
 84-94,1.07,5.69,0,0,0,0,17.95,0,0,0,8.64,0,4.44,0,0,0,0,0,0,0,0
 96-106,0,0.62,0,0,2.41,0.74,4.75,0,0,1.48,26.3,0,4.4,1.27,0,0,0,0,0,0,0
108-118,0.49,3.24,0,0,2.22,0,3.69,0,0,0,19.37,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
