stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.29,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,16.18,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,39.28,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0.93,1,0,0,0,0,0,0,1.18,0,0,0
 24-34,0,0.6,1.03,0,0,0,0,0,0,0,0,0,1.41,1.59,0,0.81,16.3,0,0,0.98,0,0,0,3.1,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,0,5.94,0,0,0,0,0,0,2.83,0,0,0
 48-58,0,0,0,0,6.25,0,0,2.09,0,0,0,0,0,2.54,0,0,9.51,0,1.16,0,0,3.47,0,0.42,0.72,0,0
 60-70,0,0,0,0,3.31,0,0,3.05,0,0,0,0,0,0,0,0,10.39,0,0,0,0,0,0,3.36,0,0,0
 72-82,0,0,0,0,3.95,0,0,7.14,0.53,1.53,0,0,0,5.08,1.23,0,7.36,0,0,0,0,0,0,0,0.5,0,0
 84-94,0,0,0,0,4.01,0,0,0,0,0,0,0,0,1.88,0,0,11.21,2.03,0,0,0,1.74,0,3.2,0.65,2.23,0
 96-106,0,0,0,0,0.93,0.98,0,1.3,0,0,0.86,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0.68
108-118,0,0,0,0.58,1.26,0,0.56,3.42,0.56,0,0,0,0,1.14,0,0,1.81,0,0,0,0,0,0.47,0,0,0,0.99
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.79,0,0,0,0,0,0,0,0
