stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.45,225.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.52,214.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,14.98,4.12,0,0,25.52,0,0,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,219.35,0,0,0,70.9,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,30.67,0,0,22.06,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,173.18,6.53,0,0,93.28,0,0,0,25.3,0,0,0,0,0,0,0,0
 14-21,0,0,2.42,10.56,1.66,8.8,0,0,0,1.63,1.46,2.29,1.13,0,0,0,0,0,0.86,14.34,0,11.65,130.84,1.15,0,0,1.8,0,1.8,16.71,0,16.6,29.67,23.65,0,0,1.05,0,0
 24-34,0,0,0.61,4.8,0,18.18,0,0,0,3.12,0,0,0,0,0.63,0,2.33,0,0,11.44,0,9.34,220.91,1.59,0,1.31,0,0,4.77,0,0,0,4.98,41.88,0,0,3.04,0,0
 36-46,0,0,0,1.85,0,20.81,8.32,0,0,8.26,0,0,0.88,0,2.56,0,0.56,0.87,0,17.38,1.49,2.06,222.8,0.58,0.64,1.88,0,0,0,0,0,0,1.18,44.36,0,0,1.03,0,0
 48-58,0,0,0,3.77,0,63.83,3.5,0,0,9.33,2.39,0,0.69,0,0,0,0.53,0,0.54,25.58,0,2.05,153.71,0.99,0,0.38,0,0.59,8.92,0,0,0.45,0,37.45,0,0,3.13,0,0
 60-70,0,0,0,3.65,0,80.7,1.64,0,0.64,32.92,1.35,0,5.1,0,0,0,1.55,0,0,27.22,0,2.05,167.55,0,0,0.91,0,0,8.13,0,0,0,0,46.73,0,0,2.76,0,0
 72-82,0,0,0,2.7,0,88.6,0.51,0,7.2,23.3,0,0,0.88,1.66,0,0,0,0.96,0,30.93,0,3.01,168.58,0.73,2.47,0,0,2.17,3.45,0,0,0,0,10.1,1.21,0.5,3.84,0,0
 84-94,0,0,0,0,1.06,107.21,5.38,0.8,0,19.18,1.36,0,0,2.36,0,3.19,1.79,0,0,53.36,0,0.98,147.53,0,4.44,1.48,0,0,7.93,0,0,0,0,23.49,1,0,2.97,3.46,0
 96-106,0,0,0,7.89,0,78.86,0.68,0.63,5,17.79,0,0,0,0.7,0,2.06,0.94,0,0.65,49.72,1.06,5.08,100,0,1.62,0.93,0,1.28,17.55,0,0,0,0,13,0,3.22,5.83,1.84,0
108-118,0,0,0,15.13,2.3,70.38,1.2,0.55,3.39,22.03,0,0,0,0,0.58,1.06,3.2,1.92,0,59.71,0.45,17.5,144.36,4.53,0,2.52,0,0,6.08,0,0.45,0,0,19.69,1.95,0,6.59,0,2.58
120,0,0,0,4.45,0,50.17,0,0,0,26.86,3.29,0,0,0,0,0,0,0,0,58.8,0,11.64,186.63,1.17,0,6.54,0,0,5.27,0,0,0,0,17.29,0,0,12,0,0
