stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,30.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0
  5-6,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,42.55,0,0,0,20.25,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.2,8.71,0,0,20.07,0,0,10.23,0,0,0,0,0
 14-21,0,0,10.67,0,1.79,0,0,0,0,0,0,0,0,0,0,5.91,0,0.91,11.02,0,0,0,0.81,0,4.51,0,0.9,4.01,0,0,0
 24-34,0,0,1.35,0,5.45,0,0,0,0,1.04,0,0,0,0,0,11.78,0,2.21,56.31,0,0,1.53,0,0,0,0,0.64,4.57,0,0,0
 36-46,0,0,0.65,0,7.26,0,7.81,0,0,0,0,0,0.65,0,0,7.92,0,2.23,58.23,0,3.55,1.66,0,0,0,0,0,4.07,0,0,0
 48-58,0,0,10.59,0,13.53,0,4.86,2.57,0,0.44,0,0,0,0,0,5.16,0,0.72,34.11,0,0,0,0,0,0,0,0,2,0,0,0
 60-70,0,0,1.08,0,19.24,0.87,15.06,0,0,0,0,1.02,0,0,10.46,17.93,0,0,13.2,0,0,0,0,0,0,0.58,0,1.46,1.22,0,0
 72-82,0,0.49,0,0,8.85,0,23.13,0.56,0,0,0,0,0,0,0,30.7,0,0,12.43,0,0,0,0,0,0,0,0,1.53,1.15,0,4.3
 84-94,0,2.17,0.57,0,3.26,0,3.1,0.66,0,0,1.45,0,0,0,0.56,4.66,0.58,0,3.65,0,0,4.29,0,0,0,0,0,0,0,0,0
 96-106,0,0,2.26,0,3.69,0,1.96,1.51,0,0,2.41,0,0,0.63,0,10.2,0,0,8.83,0,0,1.47,0,0,0,0.58,0,0,0,0,1.03
108-118,0,0,2.1,0.49,4.03,0,9.98,0,0,0,0,0,0,0,1.34,12.72,0,0,6.97,0,0.59,3.46,0,0,0,0,0,2.51,0,0.49,0
120,0,2.52,3.75,0,0,0,11.87,0,0,1.17,0,0,0,0,13.03,12.88,0,0,14.3,0,0,0,0,0,0,0,0,12.72,0,3.29,0
