stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.81,10.9,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.75,0,0,0,36.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.8,14.83,0,0,38.72,0,0,3.54,0,0,0,0,0,0,0,0
 14-21,0,0,2.35,23.11,3.66,0,0,0,0,0,1.19,0.92,0,0,0,0,0,0,4.71,0,0.87,19.42,0,0,3.18,1.44,0,7.49,1.67,1.23,3.47,0.81,0,0,0,0,0
 24-34,0,0,0,2.99,0.6,0,3.38,0,2.43,0,0,0,0,0,0,0.6,0,0,14.32,0,3.67,34.63,0,1.22,0,0,0,0,0,0,1.58,3.18,0,0,0.63,0,2.54
 36-46,0,0,0,2.57,0,0,1.01,0,1.16,2.45,0,0,0,0,0,0,0,0,10.73,0,3.83,9.49,0,1.54,0.91,0,0.56,0,0,0,0,7.19,0,0,0.59,0,0
 48-58,0,0,0,4.87,0,0,2.36,2.66,2.35,2.78,0,0.88,0,0,0.98,0,0.99,3.41,5.34,1.21,7.87,7.75,0,0.48,0,0,1.66,0,0,0,0,0,0,0,0.92,0,0
 60-70,0,0,0,3.77,0,0,15.74,0.58,2.32,3.59,0,0,0,0,10.35,0,1.06,0,17.87,0.62,3.01,14.5,0,0,0,0,0.61,0,0.58,0,0,1.74,0,0,0,0,3.58
 72-82,0,0,0,0.58,0,0,4.78,6.7,2,0.86,0,0,0.95,0,0.83,3.12,0,0,18.81,0,2.07,16.88,0.53,0.67,0,0,3.51,0,0.64,0,0,0,0,0.57,1.96,0,0
 84-94,0,0,0,1.67,0,0,8.83,1.25,1.69,7.06,0,0,0,0,1.13,0,0,0,22.62,0,3.06,10.61,0,0,0,0,5.49,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.74,0,12.37,0,0,8.12,0,3.57,4.01,0,0,1.45,0.56,0.89,0,0,0,18.04,4.8,1.37,8.51,0,0,0,0,8.38,0,0,0,0,1.34,3.47,0,8.5,1.24,0
108-118,0,1.03,0,8.52,0,3.2,0,1.96,0.79,0.63,0.97,1.35,0,0,2.11,0,0.84,0,24.36,3.68,0,3.67,1.25,0,2.55,0,4.81,0,0,0,0,0,0,1.1,2.99,0,8.57
120,0,0,0,7.35,0,0,14.04,2.34,3.49,6.73,2.91,0,0,0,0,0,0,0,16.99,0,0,10.02,0,2.92,2.44,0,11.98,0,0,0,0,0,0,0,0,0,2.78
