stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,173.05,2760.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.32,0,0,0,0,0,0,0,0,0,0
  5-6,48.8,495.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0,0,0,0,0
  7-9,0,17.41,0,4.22,0,0,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.42,0,0,0,17.04,0,9.56,6.96,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.33,0,0,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.99,8.16,0,0,17.72,0,0,5.33,0,11.65,0,0,0,0,0,0,0
 14-21,0,0,0,0.9,83.64,2.33,2.02,0,0.87,0,0,1.95,0,0,0.88,0,0,0,4.88,0,0,4.04,16.68,1.76,0,1.89,1.19,0,6.39,0,5.31,0,3.5,18.41,0,0,1.86,0,0
 24-34,0,0,0,1.61,33.67,0,0.67,0,0,0,1.91,2.44,0,4,4.27,11.61,0,1.33,15.35,6.69,0,0.75,19.64,0,8.56,1.33,0,0,0,0,0,3.18,0,6.25,0,0,1.79,0,0
 36-46,0,0,0,0,43.97,0,2.07,0,0.58,0,0,0.83,0,3.22,0,0,0.71,0,3.39,0,0,0.63,14.15,0,0,3.04,0,0,0.7,0,0,5.79,0,0.66,0,0,0.61,0,0
 48-58,0,0,0,0,15.13,0,2.18,0,4.96,1.11,0.43,0.39,0,1.23,0,0,0,0,6.82,0,0,0,7.54,0,0.39,0.55,0,0,0,0,0,0.43,0,0,0,0,0,0,4.26
 60-70,0,0,0,0,31.2,0,10.18,0,15.3,0,1.95,0,0,0,0,0,0,0,7.22,0,1.79,0,8.81,0,0.9,0,0,0,0,0,0,0.57,0,0,0,1.84,0,0,0
 72-82,0,0,0.53,0,23.57,0,11.19,0,10.08,1.04,1.5,3.58,0,0,0,0,1.44,0.77,8.88,0,0.7,1.26,9.77,0,3.01,4.3,0,1.08,0,0,0,0.61,0,0,0,7.6,0,5.41,0
 84-94,0,0,0,0,73.39,0,4.32,0,13.25,1.36,0,11.04,0.91,0,1.27,0,0.61,1.41,12.6,0,0.58,0,7.2,0,4.04,1.27,0,2.68,1.34,0,0,3.7,0,0,0.85,4.14,0,2.08,0
 96-106,0,0,0,1.68,76.93,0,5.19,0,21.91,0,0,11.92,0,0,0.56,0,5.52,0,9.12,2.38,0.85,2.48,4.19,0,13.28,1.73,0,2.25,5.06,0,0,4.73,0,0,2.79,10.02,1.21,6.79,9.94
108-118,0,0,0,0,79.38,0,6.98,0.58,25.59,0,0,4.47,0,0,0,0,4.08,1.39,9.85,0,3.25,2.67,7.8,0,5.62,1.45,0,6.29,1.46,0,0,5.18,0,0.83,4.15,2.08,0,0,0.51
120,0,0,0,0,67.99,0,9.31,0,10.04,0,0,2.65,0,2.11,0,0,0,0,0,0,0,0,3.12,0,9.63,1.25,0,14.12,6.74,0,0,4.07,0,0,0,1.54,0,4.27,0
