stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,109.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0
  5-6,41.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,10.67,0,5.11,0,0,0,0,0,0,0,0,0,0,0,138.83,0,0,32.23,0,0,0,0,0,0,0
 10-12,16.69,0,0,0,25.21,0,0,0,0,0,0,0,0,0,0,0,66.58,0,0,84.63,0,0,0,12.21,3.87,0,0
 14-21,0,0,0,0,0,0,1.2,0.85,0,0,0,1.46,2.78,0,0,0,5.14,1.48,0,0,0,0,4.85,0,4.62,29.87,0
 24-34,0,0,0,0,0.6,0,0,0,0,0.63,0,0,0,0,0,0,11.28,0.93,0,0,0,0.91,0,0,0,8.25,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.56,0,0,0,0,0,0,0,0,2.78,0
 48-58,0,0,0,0,2.01,0,0.87,0,0,0,0,0,0,0,0.46,0,36.31,0,0,0,0.56,0,0,0,0,3.44,0
 60-70,0,0,0,1.66,5.96,0.85,1.06,0,0,0,6,0,0,0,0,2.63,31.43,0,1.56,0,1.08,0,0,0,0,6.26,0
 72-82,0,0,0,0,3.95,0,0,0,0,0,4.65,0,1.69,0.73,1.07,0,50.93,0,1.04,0,0,0,0,0,0,8.96,0
 84-94,0,0,0,0,5.21,0,0,0,0,0,9.2,0,6.09,0,0,0.86,30.63,1.05,3.84,0,0.79,0,0,0,0,0,0
 96-106,0,0.95,0,0,0,0,0,0,0,0,24.07,0.7,2.84,0,0.58,0,15.69,0,2.57,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.89,0,0.62,0,0.83,0.42,13.34,0,10.66,0,0.49,0,29.56,0,1.64,0,0,0,0,0,0,0,0.85
120,0,0,0,0,2.96,0,0,0,0,0,23.75,0,4.26,0,0,0,53.3,0,9.89,0,0,0,0,0,0,0,0
