stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,iridophores,liver,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,40.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.57,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.41,9.51,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.67,0,5.96,0,0,0
 14-21,0,1.03,0,0,0,0,0,0,0,0,0,11.87,0,0,8.41,0,0
 24-34,0,0,1.84,0,0,0,0,1.16,0,0,0,19.09,0,0,1.91,0.65,0
 36-46,0,0,1.34,0,0,0,1.76,10.7,0,0.58,0,6.83,0,0,1.09,0,4.33
 48-58,0,0,0.64,0,0.73,0,0,0,14.22,1.21,0.62,8.2,0,0,0.65,0,2.27
 60-70,0,0,2.76,0,0.88,0,0,0,3.9,0,0,0.88,0,0,0,0,0
 72-82,0,0,0.89,0,1.16,0,0,0,0,1.58,0,2.05,0,0,0,0,0
 84-94,0,0,0.62,0,0,0,4.24,0,0,1.29,0,0.73,0,0,3.49,0,4.18
 96-106,0,0,0,1.05,0,0,5.37,0,0,1.41,0,0,0,0,0,0,3
108-118,0,0,0,0,0,0.64,5.4,0,3.41,0,0,0,0,0,0,0,3.27
120,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0
