stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,14.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,0,0,0,3.77,148.89,0,0,0,0,0,0,0,0,0
 10-12,0,16.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.33,14.65,0,0,78.94,313.59,0,15.64,0,0,0,0,0,0,0
 14-21,0,0,6.52,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,3.03,0,1.08,23.99,0,0,0,0,1228.96,2.41,0,1,5.93,3.65,0,0,0,0
 24-34,0,0,5.73,9.25,0.71,0,0.85,0,1.07,0,0,0.69,0,0,0,0,2.08,5.29,0,1.22,59.36,0.67,0.79,0,0,970.23,0.93,0,1.98,5.44,8.37,0,0,0,0
 36-46,0,0,0.77,0,3.25,0,11.17,0,2.14,0,0,0,0,0,0,3.65,1.98,7.17,0,2.03,23.05,0,0,0,0,924.5,0,0.94,0,0,1.91,0,0,0,1.02
 48-58,0,0,11.56,0,1.36,0,5.52,1.92,0,0,0,0,0,1.82,0,0,2.55,0,8.76,0.78,46.85,0,0,0.97,0,411.73,0,0,0,0,9.89,0,0,0,0
 60-70,0,0,22.45,0,5.82,0,16.49,0,3.39,0,0,0,0,2.95,0,0,0.84,0,0,0,40.86,2.48,0,0,0,349.42,0,0,0,0,7.77,0,0,0,0
 72-82,0,0,18.05,0,6.25,0,6.1,0,3.82,2.49,0,0,0,3.01,0,0,7.01,1.33,0,0,23.62,0,0,0.51,0,215.5,0,0,0,0,11.31,0,0,0,1.1
 84-94,0,0,30.23,0,3.35,0,14.92,0,0,0.92,0,0,1.08,3.16,0,0.98,0.75,1.98,1.23,0,24.65,0,0,0,0,436.82,0,0.73,0,0,0,0.57,0,0,0
 96-106,0,0,35.89,0,29.41,0,21.21,0.64,6.92,0,0,0,2.03,5.69,0.79,0,14.65,6.82,6.17,0,46.48,0,0,2.03,0,698.42,0,0,1.07,0,0,0,0,0,0
108-118,0,0,58.54,1.6,5.59,0.76,25.13,0,9.81,2.8,0,0,0.79,16.11,0,0,9.49,9.5,0,1.14,38.84,0,0,0.57,0,765.32,0,0,0,0,1.31,0,0,0.68,0
120,0,0,23.47,0,17.59,0,45.25,0,12.17,0,0,2,0,9.87,0,0,0,0,0,0,10.84,0,0,0,0,548.76,0,2.11,0,0,0,0,1.54,0,0
