stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,30.38,116.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,125.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.69,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,0,0,0,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.82,0,0,0,26.18,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.4,0,0,0,0,0,16.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.87,0,0,0,10.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.19,84.28,17.92,0,70.49,0,0,0,27.51,4.27,2.09,1.07,0,7.51,0,0,0,39.72,0,0,26.7,836.97,11.08,0,3.64,14.92,0,14.91,1.53,47.59,0.85,35.33,205.97,0,0,0.83,0,6.24
 24-34,0.88,0,0,0,21.72,4.09,0,190.03,0,0.64,0,37.28,0.67,0,1.37,0,0.77,0,2.1,0.79,102.03,0,0,51.84,1593.63,1.67,1.67,7.58,0,0.99,20.92,0,0,3.39,3.45,331.11,0,0,15.97,0,6.1
 36-46,0,0,0,0,7.36,2.06,0,217.71,0,1.15,1.77,41.04,0.56,0,1.2,0,0,0,0.65,0,77.51,0,1.56,27.13,576.61,3.12,5.55,3.45,0,0,29.62,0,0,2.58,0,122.8,0,0,1.27,0,0
 48-58,0,0,0,0,11.78,0,0,192.59,0,6.32,2.92,53.98,0.64,0,2.21,0,0,0.38,0.51,0,57.85,0,0.54,13,279.37,5.84,3.55,2.57,0,0,13.75,0,0,0,0,48.43,0,0,11.79,0,0.6
 60-70,0,0,0,0,5.04,6.65,0,160.66,0,0,4.06,59.29,4.95,0,0,0,0.56,0,0,0,72.57,1.27,3.42,8.74,228.35,1.68,3.38,3.65,0,2.16,0.65,0,0,1.54,0,30.52,0,2.35,0.94,0,3.87
 72-82,0,0,1.65,0,10.41,11.6,0,67.52,1.52,7.37,3.58,68.18,2.9,0,0.81,1.09,0.7,0,1.05,0,85.73,0,1.11,3.47,128.36,1.43,2.58,4.02,0,0,5.84,0,0,0,0,20.79,0,1.21,9.11,0.77,0
 84-94,0,0,0,1,7.56,2.26,0,85.68,0,0,2.68,54.28,0,0,0,0,0,1.02,2.26,0,59.7,0,5.76,6.29,107.85,3.69,0.97,1.37,0,0,6.88,0,0,0,0,12.04,5.13,1.04,1.92,0,0
 96-106,0,0,0,0,16.43,46.68,0,97.2,0,2.76,1.05,54.46,2.51,0,0,3.75,2.03,0,1.28,0.62,62.91,0.71,4.03,9.73,128.3,0,0,3.25,0,6.66,10.26,0,0,0,0,5.28,1.07,1.08,19.48,1.74,0
108-118,0,0,1.15,0,12.12,9.89,2.13,79.4,0,2.02,1.7,58.88,4.67,0,1.35,3.92,0.43,0,5.63,0.9,52.45,5.66,1.21,10.79,122.46,0.43,3.8,4.55,0,1.35,8.64,0,0,0,0,11.57,0,1.11,14.95,4.07,0.91
120,0,0,0,0,20.72,19.62,0,70.32,0,0,3.18,85,5.51,0,0,0,4.23,1.74,3.39,3.42,54.96,0,8.08,9.46,199.76,2.28,1.45,16.94,0,2.63,7.59,0,0,0,0,16.89,0,0,2.56,1.8,0
