stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,12.03,0,0,0,15.02,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,1.08,0,0,0
 24-34,0,0,0,4.41,0,0,0.81,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0,0,0,1.84,0,0,0
 36-46,0,0,0,4.09,0,0,1.2,0,0,0,0,0,1.11,0,23.16,0,0,0,0,0,0,0,0,0.98,0,0,0
 48-58,0,0,4.12,25.76,0,0,0,0,0,0,0,0,1.68,0,8.28,1.41,0,0,0,0,0,0,0,2.57,0,0,0
 60-70,0,1.56,2.83,360.06,0,0,0,0,0,0,0,0,3.77,0.59,27.69,0,0,0,0,0,5.24,0,0,0.71,0,0,0
 72-82,0,1.54,46.23,1043.29,0,0,2.87,0.9,0,0,0,0,5.14,1.74,33,0,1.88,1.25,0,0,2.51,0,0,3.06,2.31,0,0
 84-94,0.89,3,14.47,1340.95,0,0,0.72,0,3.97,0,0,2.17,9.23,0,5.31,0,0,0,0,0,0,0.64,0,0,0,0,0
 96-106,0,3.67,22.07,1384.3,0,0,2.03,0,1.37,1.33,0,0,0,2.23,24.11,0,0,1.71,0,1.03,3.24,0,1.49,0,0,0,0.59
108-118,0,4.67,15.2,1165.65,0,5.33,2.82,0.48,0,0,0,0,5.97,2.25,30.01,0,0,0,0,0.86,0.76,0,0,0,0,2.36,0
120,0,4.79,6.32,1744.81,4.34,0,4.69,0,0,0,1.74,0,25.54,1.88,56.65,0,0,2.43,0,0,1,0,0,0,0,6.42,3.21
