stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,84.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.52,0,0,32.39,0,0,0,0,20.35,0,0,0,0,0,0,103,0,0,0,24.74,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,16.17,0,0,0,0,17.04,0,0,0,0,0,0,241.8,5.93,0,0,37.42,0,0,0,0,0,0,0
 14-21,0,0,0,7.88,0.9,0,0,0,0,0,0,0,0,0,0,0,0,25.32,0,4.44,0,1.37,0,0,2.05,11.76,0,0,0
 24-34,0,0,0,3.32,0,0.65,0,0,0,0,0,0,0,0,0,0,0.67,84.98,0,33.66,0,0,0,0,0,9.84,0,1.3,0
 36-46,0,0,0,0.87,0.73,4.84,0,0,1.18,0,0,0,0,0,0.78,0.71,0,157.5,0,67.12,0,0,0,0,0,13.9,0,0.69,0
 48-58,0,0,0,5.52,0,14.64,3.45,0,1.45,0,0,0,0.58,0,2.98,0,0,212.81,0,71.86,0,0,0,0.51,0,11.23,0,0,0
 60-70,0,0,0,2.04,0,5.72,0,0,9.44,4.11,0,0,0,0,1.63,0,0,539.2,0,100.02,0,0,0,0,0,18.56,0,0,0
 72-82,0,0.68,0,2.23,0,25.87,0,1.16,12.98,0,0,0,0,0,3.97,0,0,526.55,0,182.04,0,0,1.4,0.55,0,11.82,0,2.75,0
 84-94,0,0,0,0.8,0,38.15,0,0,3.22,0.73,0,0,0.55,0,2.62,0,4.74,401.69,0,155.31,0,0,0,0,0,0.99,0,1.16,0
 96-106,0,0,0,8.9,8.37,16.65,0,0,1.23,0.71,0,0,2.92,0.58,4.11,0,0,482.31,0,242.84,1.35,0,2.45,6.26,0,0.78,0,0,0.61
108-118,0,0,0,17.59,0,20.82,0,0,1.4,0,0,0,1.26,4.45,17.97,0,0,471.8,0,164.77,0.78,0,0,1.92,0,1.43,1.77,0,0
120,0,0,0,3.56,0,70.39,0,0,6.86,2.51,0,1.15,18.09,0,2.5,0,0,851.81,0,238.99,0,0,0,0,0,9.07,0,0,0
