stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,21.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.02,30.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0
  7-9,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,21.9,0,0,0,0,0,0,0,0,0,0,0,0,62.19,0,0,18.72,0,0,0,5.73,0,0,0,0
 14-21,0,0,0,0,3.78,0,0,0,0,6.93,0,0,0,0,27,1.53,0,8.42,14.13,0,0,0,0,2.62,1.56,6.27,5.69,0,0.98,0
 24-34,0,0,0,5.45,0,1.04,0,0,8.46,0.74,0,0,0,0,9.99,0,0,4.12,20.93,0,0,0,0,0,0,0,2,0,0.69,0
 36-46,0,0,0,12.21,0,4.84,0,0,1.36,0,0,0,0,0,28.39,0,0,7.53,10.05,0,1.32,0,0,0,2.67,0,0.85,0,0,0
 48-58,0,0,0.86,7.23,0,7.86,0,2.2,0.69,0,0,4.89,0,0,43.45,0,0.5,12.68,19.39,2.65,2.05,0,0,0,0,0,1.49,0,0,0
 60-70,0,0,1.53,1.68,0,20.04,4.19,0,0,0,0,0,0,0,148.54,0,5.7,4.03,15.27,2.15,0,0,0,0,0,0,2.76,1.33,0,5.53
 72-82,0,0,0,1.44,0,42.53,0,0,0.68,0,0,0,0,0,280.21,0,15.06,5.09,27.36,0,1.03,0,0,0,0,0,3.96,3.95,0,31.97
 84-94,0,0,0,0,0.89,17.66,0.91,0,2.6,0,0,0,3.43,0,244.33,0,13.4,5.45,18.62,1.68,0.56,0,0,0,0,0,0,13.53,0,18.72
 96-106,0,0,0,7.97,0,30.99,1.78,0,3.04,0,3.87,0,3.8,0,240.78,0,0,6.78,22.31,1.28,0.69,0,2.46,0,0,0,0,4.09,4.48,27.07
108-118,0,0,0,4.74,0.66,39.25,0,2.02,4.96,0,0,0,4.77,0,400.58,0,2.45,19.59,23.71,1.26,0.74,0,0,0,0,0,0,2.1,0,19.77
120,0,0,0,1.63,0,5.72,0,0,0,0,0,0,12.87,2.64,350.77,0,0,6.93,9.35,13.68,0,0,4.24,0,0,0,0,2.68,0,21.24
