stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,103.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.45,76.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.36,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,5.46,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.17,0,0,0,20.82,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.35,0,0,0,24.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.1,0,0,0,41.71,0,0,4.76,0,0,0,0,0,0,0,0
 14-21,0,0,4.33,1.72,0,0,0,0,0,0.86,0,0,0,0,0,0,0,1.81,0,1.1,33.33,1.57,0,0.84,0,0,1.39,5.96,0,2.3,10.05,0,0,0,0,0
 24-34,0,0,0.67,1.11,0,1.53,0,0,0,0.89,0,0,0.62,0,0,0,0,2.51,0,0,46.62,0,0,0,0,0,9.65,0,0,0,6.17,0,0,0,0,0
 36-46,0,0,11.38,0,0,3.3,1.34,0,0,2.1,0,0,0,0.79,0,0,0,8.4,0,1.67,66.24,0,2.93,0,0,0,5.57,0,0,0,5.28,0,0,0.56,0,0
 48-58,0,0,2.57,0,0,21.17,0,0.45,0.73,9.83,0,0,0,0,0,0,0,4.6,0,0,63.18,4.97,5.43,0,0,0,0,0,0.74,0,9.14,0,0,1.39,0,0
 60-70,0,0,1.22,0,0,13.36,0,0.86,2.02,1.79,0,0,0,0,0,0.73,1.32,9.08,0,0,56.67,1.01,0.58,1.79,0,0,12.23,0,0,0,13.55,0,0,0,0,0
 72-82,0,0,0,0,0,12.8,0,0,1.26,3.53,0,0,0,0,0,0,0,11.62,0,1.66,53.9,0,11.28,0.49,0,0,1.52,0,0,0,3.75,0,1.23,4.74,0,0
 84-94,0,0,0,0.93,0,10.01,0,0,0,0.96,0.71,0.7,0.62,0,0,0,0,8.4,2.54,0.7,14.58,0,16.55,0,0,0,2.83,0,0,0,1.3,0,0,0,0,0
 96-106,0,0,0.75,0,0,26.46,0,0.58,0,6.67,0,0,1.83,0.87,0,0,0,6.67,0,0,35.37,0,6.49,0,0,0,1.61,0,0,0,7.42,5.35,0,0,1.13,0
108-118,0,0,1.11,3.14,0.45,2.54,0,0,0,7.81,0,0,0,0,0,0.51,0,6.81,0,0,48.44,0,4.96,0,0,2.26,3.9,0,0,0,0,0.43,0,5.94,0,0.75
120,0,0,1.09,0,0,21.05,0,0,0,0,0,0,0,0,8.53,0,0,16.49,0,2.12,78.45,0,17.93,0,0,0,11.3,0,0,0,19.13,0,0,6.21,0,0
