stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.59,0,0,0,0,2.52,0,0,3.67,0,0,0,0,0,0.84,0,0,0.99,12.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6
 36-46,0,0,0,0,0,0,3.6,0,0,0,0,60.78,0,0,54.71,0,0.86,0,97.92,0,0.78,0,0,0,18.02,0,0,0,0,0,1.7,0,0,0,0,0,0,6.64,0,0
 48-58,0,0,22.7,0.45,0,0,2.72,0,0,0,1.83,81.71,0,0,33.16,0,0,0,228.6,1.69,2.03,0,0,0,35.04,0,0,0,0,0,1.63,0,0,0,6.12,0,0,0,0,1.47
 60-70,0,0,0,0,0,0,21.27,1.17,0,0,1.01,42.3,0,0,21.55,0,0,0,489.03,0.71,25.65,0,0,4.53,38.8,0,0,0,0,7.68,3.21,0,0,0,3.28,0,0,0,0,1.82
 72-82,0,0,0,1.17,14.48,0,61.27,0,0,0,14.55,8.76,0,0,2.14,0.61,0,0,1448.85,0,28.35,1.59,0,5.11,123.11,0,2.18,2.22,0,0,9.73,2,1.5,0,11.12,0,0.87,1.99,1.45,15.51
 84-94,0,0,0,3.59,12.14,0,39.82,0,0,0,7.26,42.82,0,0,2.25,0.82,2.31,0,2352.04,1.24,4.15,1.51,0,1.69,100.96,0.58,0,2.99,0,0,5.78,0,0,0,0,2.98,7.43,0,0,0
 96-106,0,0.7,0,34.57,83.6,5.36,277.01,2.01,7.21,4,81.22,35.73,0,0,74.1,2.33,6.38,0,5289.1,7.1,122.36,2.09,4.49,2.56,742.7,2.95,2.73,4.32,0,10.16,70.99,1.32,2.12,0,21.34,4.1,0,27.93,1.45,24.41
108-118,0,1,0,21.72,25.99,7.27,198.65,0,2.5,13.08,51.45,10.21,2.74,1.82,45.49,0,7.35,1.06,6000.62,3.31,126.52,5.36,4.49,4.23,842.78,2.5,4.55,7.02,0,58.9,36.35,2.8,0.67,0,4.86,2.36,1.88,7.37,1.19,6.08
120,0,0,0,16.85,22.51,3.63,68.82,0,3.73,4.21,47.94,1.73,0,0,107.29,0,3.6,0,5597.81,0,45.91,0,0,4.9,354.2,0,0,3.89,0,0,35.1,0,0,0,0,4.45,0,0,0,18.86
