stage,endocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,10.57,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1.92,0,0,0
 24-34,0.84,1.29,0,0,0,0,0,0,0,0.82,2.73,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.24,0,0.91,0.73
 48-58,0,1.74,1.02,1.05,0,0.38,0,0.98,0,4.08,0,0.75,0
 60-70,0,0,4.25,0,0,0,4.15,0,0,8.08,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.49,0,0,0
 84-94,0,0.75,0.62,0,0.72,0.8,3.69,0,0.98,2.4,0,0,0
 96-106,0,0,0,0,1.64,0,4.1,0,0,1.45,1.81,0,0
108-118,0,0.57,0,0.64,1.86,0,2.32,0,0.49,3.01,0,0,0
120,0,0,0,0,1.54,0,0,4.85,0,0,0,0,0
