stage,axial,blastomeres,endoderm,eye,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,16.11,55.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,44.85,392.73,0,0,0,0,0,0,0,0,0,0,0,0,6.56,12.64,0,0,0,0,0,0
  7-9,3.94,0,11.14,11.97,0,0,0,0,0,0,0,209.48,13.72,0,44.08,0,5.5,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.94,0,0,0.91,7.57,1.08,0.98,0,0,0,0.99,8.81,2,8.54,0
 24-34,0,0,0,1.49,0,1.02,0,3.41,2.85,0,0,4.4,0,0,0,0,0,0,16.04,0,3.58,1.7
 36-46,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,1.13,1.85
 48-58,0,0,0,0.66,4.14,0,0,0,0.82,0,0.77,4.52,0,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,2.19,0,0,0,0,0,0,0,5.33,0,0,0,0,0,0,0,0,0,0.58
 72-82,0,0,0,0,0.83,0,0.59,0,0.72,0.55,0.8,9.06,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.76,0,1.21,0,0,0,0,1.13,0,0,0,0,0,0,1.52,0,0,4.94
 96-106,0,0,0,15.61,0,0,0,0,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,10.12,0,0,0.42,0,0,0,0,16.85,0,0,0,0,0,0,0,0,0,0
