stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,0.92,0,0,0,0.99,0,29.27,0,0,0,0,0,4.9,0,4.15,26.83,0,0,0.94,0,0,0,0,0,0,1138.3,58.59,2.94,0,0,0,0,0
 24-34,0,0,0,0,2.95,0,3.68,17.45,0,0.93,0,41.04,0,0,0,0,0,2.73,0,25.35,90.56,0.67,0,27.64,0,0,1.54,0,0,0.83,667.45,29.59,10.05,0,0,1.4,0,1.99
 36-46,0,0,0,0,0,0,5.32,35.53,0,6.19,0,17.92,0,0,0,3.76,0,9.53,0,13.74,93.42,2.73,0,17.78,0,0,1.53,0,0,0,327.13,0,10.34,0,0,0,0,0
 48-58,0,0,0,0,8.03,0.75,7.01,17.35,0,15.94,0,3.67,0,0,0,2.7,0,2.42,0,1.69,72.77,0,0.48,37.98,0,0,0,0,0,0,115.64,0,15,0,0,0,0,0
 60-70,0,0,0,0,0,0,21.58,33.3,2.07,23.6,0,11.13,0,0.58,0,4.71,0,1.38,0,1.98,100.82,0,0,50.78,0.81,0,4.05,0,0,0,61.62,0,7.93,0,0,0,2.91,0
 72-82,0,0,1.78,0,8.57,5.31,25.38,50.76,0,30.3,10.6,1.4,0,0,0,22.08,1.44,19.62,0,18.22,128.29,0,0,95.74,0,0,0,0,0,0,19.65,0,2.15,17.8,1.26,0,11.09,0
 84-94,0,0,0,0,4.28,1.22,29.93,104.59,0,29.72,2.68,3.34,0,0,0,18.74,0.68,7.69,1.67,15.73,110.27,0,0,141.96,0,0,4.99,0,0,0,19.66,0,2.12,44.75,0,0.58,44.83,0
 96-106,0,0,0,0,26.02,1.6,71.92,155.03,0.58,23.55,2.15,10.22,0,0,2.59,48.07,17.6,17.22,1.38,23.35,165.29,0,0.57,159.9,21.32,1.03,9.37,3.82,0,0.57,27.3,0,0,51.52,0,0.93,31.66,0
108-118,0,0,0,0,27.35,7.67,27.41,141.73,0,39.73,4.41,10.8,0.99,1.67,1.52,24.73,0,16.36,3.59,24.51,123.88,0.57,0,132.1,0,0,0,0,0,0,35.38,0,1.62,29.69,0,1.41,30.34,0
120,0,0,0,0,10.38,0,48.16,191.28,0,16.9,0,1.85,0,2.35,0,30.43,0,28.72,10.62,4.97,120.61,0,0,154.89,0,0,2.63,0,1.12,0,16.27,0,14.77,21.58,1.46,0,17.25,0
