stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0
 14-21,7.56,0,0,0,0,0,0,0,0,0,0,0,0,4.15,9.99,6.2,0,0,0,1.01,1.77,4.3,0,0,0
 24-34,0.85,2.83,0,2.9,0.67,3.18,0,0,0,0,0,9.86,0,1.98,74.77,2.79,0,0,0,0,1.61,16.77,0,0,3.24
 36-46,2.71,11.22,0,5.26,0,0,0,0,0,0,0,5.02,5.23,1.41,104.7,0,3.55,0,3.28,0,0,32.68,0,0,2.53
 48-58,9.52,18.98,0,0.71,1.89,17.56,0.91,0,0,0.44,0,7.75,0,0,153.79,0,0,3.21,0,0,0,28.2,0,0,0.9
 60-70,1.3,3.87,0,0,0,1.78,0,0,0,0,0,6.13,0.88,0,80.91,2.19,0,0,3.14,0,0,5,0,0,1.22
 72-82,6.84,53.2,0.79,2.38,3.21,7.22,0,0,0,0,0,16,0,2.38,269.61,0,1.49,2.07,0,0,0,32.42,0,0.56,9.89
 84-94,1.49,16.17,0,0,0,6.05,0,0.7,0,0,0,8.24,0,0,100.99,0,0,0,0,0,0,30.55,0,0,2.35
 96-106,7.13,22.37,1.43,0,1.07,7.51,1.04,0,0,0,0,8.68,0,1.88,127.32,0,0,0.6,0,0,0,0,5.51,0,7.63
108-118,2.24,11.78,0,0,0,5.22,0,0,0.91,0,0.56,5.22,0,0.44,116.38,0.47,1.61,0,0,0,0,8.16,3.18,0,1.76
120,1.41,0,0,0,0,3.63,0,0,0,0,0,0,0,0,17.67,0,0,0,0,0,0,0,0,0,0
