stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.78,126.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550.24,0,0,0,0,0,0,0,0,0,0
  5-6,11.31,72.69,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.58,0,1851.24,0,0,0,0,0,0,0,0,0,0
  7-9,8.78,9.74,15.63,0,0,0,21.33,0,0,0,0,36.97,0,0,0,0,0,0,0,0,0,0,0,221.59,7.45,0,0,31.81,0,104.96,3.79,0,0,0,0,0,0,0,0,0
 10-12,4.89,23.1,40.73,0,4.95,0,34.22,0,0,0,0,17.62,0,0,0,0,0,0,0,0,0,0,0,2201.32,19.41,0,0,80.26,0,17.58,0,0,3.14,0,0,0,0,0,0,0
 14-21,0,0,0,222.88,5.99,0,0,0.82,0,0,1.69,0,0,51.27,2.15,0,0,0,0,7.18,0,0,4.05,53.9,1.14,0,0,0,0,5.56,0,2.27,0,0.92,9.32,0,0,4.49,0,0
 24-34,0,0,0,91.19,1.92,0,10.83,9.99,0,0,0,0,4.3,148.93,4.49,0,0.91,0,0,19.47,0,0,5.38,48.24,0,1.24,0,0,0,33.23,0,0,0,1.29,13.08,0,0,16.16,0,0
 36-46,0,0,0,51.86,0,0,3.31,16.24,0.78,11.44,0,0,3.43,175.32,1.55,0,0,0,0,18.91,0,0.89,1.52,40.45,0,0,0.57,0,0,56.96,0,0,0,0,2.45,0,0,25.98,0,0
 48-58,0,0,0,32.4,0,0,3.95,16.7,0.59,4.76,0,0,0.54,231.86,1.92,2.21,0,0,0,13.82,11.52,0.93,1.08,20.4,0,0,2.32,0,0.56,17.51,0,0,0,0,3.85,0,0.51,23.14,0,3.59
 60-70,0,0,0,54.44,1.63,0,14.1,30.59,5.11,7.1,0,0,0,385.23,0,0,0,0,0,40.74,0,1.71,3.31,21.27,0,0,0,0,0,37.08,0,0,0,0,1.43,0,2.54,36.18,0,0
 72-82,0,0,0,23,2.61,0,14.03,14.55,5.39,11.06,1.54,0,3.42,331.66,5.69,0.59,0,0,0,68.14,0,0.78,7.99,32.71,0,0,1.15,0,3.69,6.7,0,0,0,0,2.18,0,2.23,72.28,5.84,0
 84-94,0,0,0,33.88,2.12,0,21.18,20.45,0.74,3.3,0.58,0,1.84,445.57,5.06,1.72,0,0,0,88.24,4.6,0,8.67,8.14,0.69,0.6,0,0,5.17,20.71,0,0,0,0,0,0.71,2.67,63.81,1.46,0
 96-106,0,0,0,29.11,14.4,0,63.36,20.4,17.85,11.99,0,0,4.73,521.98,5.43,0,0,0,0,92.58,0,0.7,0,13.24,0,1.21,0,0,12.22,21.81,0,0,0,0,1.39,3.17,6.25,101.21,0.61,0
108-118,0,0,0,38.3,0.53,0.72,41.24,23.93,5.77,4.93,1.91,0,0.47,501.54,18.04,0.42,2.27,1.35,0.97,125.78,0.53,1.37,0,42.07,0,3.21,0.44,0,3.22,11.64,0,0,0,0,4.88,1.23,1.89,130.27,1.27,2.08
120,0,0,0,68.23,0,0,14.4,23.35,0,17.24,0,0,5.02,663.7,3.41,0,0,14.16,0,119.28,0,1.83,1.39,30.41,0,0,0,0,2.67,17.27,0,0,0,0,0,5.11,0,113.78,0,0
