stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,24.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,5.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.18,0,10.41,0,0,0,0,0,0,0
 14-21,0,0,0,32.5,0,0,0,0,0,4.06,0,0,0,0,0,0,0,1.18,0,0,1.66,0,0,0,50.69,0,0
 24-34,0,0,0,1.89,1.29,0,0,0,0,12.34,0,0.95,0,0,0,0,0,6.68,0.78,0,3.7,0,1.04,0,437.06,0,0
 36-46,0,0,0,0,1.44,0.57,0,0,0,21.98,0,0,0,0,0,2.14,0,1.16,0,0,4.58,0,2.89,0,289.19,0,0
 48-58,0,0,1.21,0.44,2.58,0,0,0.5,0,16.54,0,0,0,0.69,0,0.43,0,10.91,0,0,0,0,2.86,0,212.16,0,1.6
 60-70,0,0,0,2.33,1.7,0,0,1.94,0,15.61,0,0,0,0,0,2.94,0,9.1,0,0,0,1.72,0.85,0,206.03,0,0
 72-82,0,0,0,0,0,0,0,1.54,0,36.22,0,0,0,0,0,2.35,0,19.59,0,0,0.66,0,0,0.56,374.31,0,0
 84-94,0,0,0,0.84,12.81,0,0.77,0.86,0,19.42,0,0,0,0,0,9.3,0,0,0,0,3.15,0,0,1.05,447.62,0,0
 96-106,0,0,2.41,13.09,3.95,0,0,1.1,0,36.76,1.16,0,0,0,0,16.9,4.02,12.11,0,0,2.93,0,0,0,347.6,1.34,0
108-118,0,0,2.68,0,3.69,0.57,0,0,0,14.34,0.84,0,0,0,1.21,0.5,0,10.67,0.43,0,2.27,0.44,0,0,367.49,0,0
120,0,0,5.08,0,0,2.55,0,21.74,2.12,49.03,0,0,5.74,0,0,0,0,16.1,0,0,11.58,0,10.98,0,290.01,0,0
