stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,somites,spinal.cord,taste
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.35,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0
 14-21,0,2.42,0,0,0,0,0,0,0,0.8,0,2.53,0,0,1.04,0,1.03,0,0,0,0
 24-34,0.67,0.63,0,0,0,0,0,0,0,6.31,0,0,39.51,0.7,1.67,0,15.04,0,2.47,1.83,0
 36-46,0,5.97,0,0,0,0,0,0,0,21.97,0,0,53.66,0,6.37,0,37.85,0,0,3.34,0
 48-58,0,0,0,0,0.38,0,0,1.35,0,4.9,0,0,25.82,0,27.16,0,24.21,0,0,4.4,0
 60-70,0,0,0,7.6,0.85,1.24,0.85,2.24,1.84,15.61,0,0,10.92,0,2.6,0,36.56,0,0,0,0
 72-82,0,0.73,0,1.48,0.55,0,0,25.43,4.3,4.59,0,0,24.42,0,9.43,0.84,57.67,0,0,0,0
 84-94,0,2.41,0,0,0,0,0,46.45,1.37,1.88,0,2.56,26.45,0,4.32,0,119.39,0.74,0,0,0
 96-106,0,6.83,0.98,10.62,1.15,0,0.97,96.64,6.39,6.93,1.99,4.04,15.9,0.56,12.13,0,135.07,0,0,0,0
108-118,1.03,2.56,2.51,3.04,0.42,1.12,0,79.09,6.27,6.33,5.97,5.33,18.54,0,6.6,0,122.36,1.69,0,0,0.52
120,0,1.1,0,0,0,1.78,0,54.76,3.47,9.78,0,0,1.16,0,2.87,0,128.63,0,0,0,0
