stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,27.28,810.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,43.73,590.06,0,0,0,0,0,0,0,0,0,0,22.64,0,0,0,0,0,0,0,0,0,110.11,0,0,0,27.4,0,0,0,0,0,0,0,0,0,0
  7-9,11.94,7.36,0,23.53,0,0,15.48,0,0,0,0,0,12.11,0,0,0,0,0,0,0,0,0,223.23,7.02,0,0,150.31,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.75,0,32.6,0,11.05,19.31,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,251.69,0,0,0,98.48,0,0,0,60.28,0,0,0,0,0,0
 14-21,0,0,0,0.87,5.28,0,3.98,0,0,0,1.22,0,0,0,0,0.92,0,0,1.43,0,0,0.9,26.36,1.89,0,0,0,0,0,3.98,0,9.94,5.47,0,0,0,2.45
 24-34,0,0,0,0.67,1.77,0,2.89,0,0,0,1.56,0,0,0,0.6,0,0,0,6.77,0,0,2.63,137.21,0,1.4,0,0,0,4.72,0,0,2.63,40.08,0,1.32,0,0
 36-46,0,0,0,0,0,0,17.35,0,0,2.09,3.62,0,0,0.95,0,0,0,0,4.95,0,0,3.68,209.58,1.01,1.28,0,0,0,9.84,0,0,0,35.46,0,0,0.78,0
 48-58,0,0,0,0,0.45,0,36.17,1,0,0,9.4,0,0,0,0,0,0,0,9.58,0,0,2.89,170.07,0,0.41,0,0,0,3.67,0,0,0,40.42,0,2.95,0,0
 60-70,0,0,0,0,5.46,0.76,99.1,0,1.31,0,18.76,0,0,1.29,2.98,0,0,0,18,0,5.67,1.89,221.99,0,0,0.57,0,0,1.81,0,0,0,33.01,0,3.74,1.25,0.69
 72-82,0,0,0,0,0.61,6.91,98.87,0,0,7.21,8.23,0,0,0,0.49,0.63,0,1.05,16.99,0,1.45,0,166.56,0,1.09,0,0,0,0,0,0,0,19.43,1.23,3.3,0,0
 84-94,0,0,0.74,0,6.6,12.23,38.84,0,0,0.86,26.19,0,0,0,0.72,0,0,0,28.56,1.6,8.32,0.68,82.16,0.58,3.38,0,0,0,1.12,0,0,0,2.06,0,4.52,0,0
 96-106,0,0,0,0,2.64,6.82,23.4,0,0.63,0,4.13,0,0,0,0,0,0,0,25.77,2.07,0,0,79.15,0,0,0.79,0,0,3.31,0,0,0,11.55,4.06,3.15,0,0
108-118,0,0,0,0,0,8.36,56.16,0,0.61,2.42,8.42,1.32,0,0,0,0,0.96,0,43.04,0,0,3.91,143.92,0,0,1.27,0,1.22,1.85,0,0,0,2.88,1.36,2.02,0,2.96
120,0,0,0,0,1.77,0,34.17,0,0,0,10.78,7.52,0,0,0,0,0,0,44.84,0,19.84,0,304.03,0,0,0,0,0,0,0,0,0,32.76,18.73,2.71,0,0
