stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,11.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,62.26,0,0,0,11.89,0,0,0,0,0,0,0
 10-12,0,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.49,5.46,0,0,26.73,0,0,0,0,0,0,0
 14-21,0,0,2.57,0.91,0,0,0,0,0,0,0,0,0,2.24,0,1.31,11.48,0,0,1.24,0,0,1.29,1.13,0,7.75,0,0
 24-34,0,0.64,0,1.22,0,0,0,0,0,0,0,0,0,0.67,0,0.65,25.59,0.64,1.41,0,0,0,0,0,1.48,5.15,0,1.42
 36-46,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0.64,0.6,0,31.21,0,0,0,0,4.24,0,0,0,8.86,0,0
 48-58,0,0,0,5.14,0,0,0,0,0.59,0,0,0,0.83,1.56,0,0,39.02,0,0,0,0,0,0,0,0,8.5,0,0
 60-70,0,0,0,5.48,2.61,0,0.95,0,0,0.69,0,0,0,1.21,0,0,121.2,0,0,0,0,3.22,0,0,0,5.25,0,0
 72-82,0,0,0,21.72,0,0,10.88,0,1.08,0,4.35,0,0,4.46,0,0,281.6,0,0,0.69,0,0,0,0,0,1.21,0,0.57
 84-94,0,0,0.9,15.04,0,0,0,0,0,0,0,2.17,0,2.41,0,0,180,0,0,0.59,0,0,0,0,0,0,0,0.8
 96-106,0,0,0.71,12.33,0,0,5.12,1.37,0,0,0,0.61,0,1.37,0,1.09,373.75,0,0,5.46,0,0,0,0,0,0,0.67,0
108-118,0,0,0,11.93,0,0.6,0,0,0,0,0,0,0,9.14,0,0,481.09,0,0,4.04,0,0,0,0,0,0.94,0,0
120,0,0,3.92,7.73,0,0,14.68,0,0,0,0,0,0,0,0,0,569.93,0,1.11,7.34,0,2.01,0,0,0,0,0,0
