stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,83.69,529.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.23,1501.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.81,8.7,0,0,22.4,0,9.92,0,0,0,0,0,0,0,0,0,0
  7-9,22.95,75.48,54.98,0,0,386.17,0,0,0,0,51.96,0,0,0,0,0,0,0,0,0,0,0,1940.94,59.88,0,0,532.41,0,4.29,0,0,0,0,0,0,0,0,0,0
 10-12,0,105.28,42.67,0,6.13,242.4,0,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,2006.22,41.13,0,0,624.53,0,7.35,6.56,19.9,27.57,0,9.29,5.32,0,0,0,0
 14-21,0,0,1.03,35.31,6.52,37.91,1,0,19.01,1.99,0,1.1,0,0,0,1.12,0,0.88,24.1,0,0,12.69,495.62,5.16,1.23,4.98,5.68,0,4,0,48.75,0,6.54,36.55,125.51,0,1.65,0,0
 24-34,0,0,1.85,6.31,0.95,46.62,0,1.3,6.77,0,0,0,0,0,0,0,0,0,32.87,0,0,9.02,469.56,0,0.65,3.56,0,0,1.88,0,0,0,0,2.42,91.77,0,4.35,0,0
 36-46,0,0,0,0.72,0,55.73,0,0,6.29,0.66,0,0,0,0,0,0,0,0,13.26,0.56,0.67,2.41,140.96,0,0,0,0,0,9.5,0,0,0,0,0,24.96,0,0,0,0
 48-58,0,0,0,2.81,0,76.81,0,1.63,19.01,0.43,0,0,0,0,1.54,0,0,0,18.83,0,0.37,2.91,122.71,0.71,0,0.94,0,0,2.04,0,0,0,0,0,27.13,0,1.86,0,0
 60-70,0,0,0,9.18,0,116.95,0,1.72,26.76,0,0,0,0,0,0,0,0.72,0,32.71,0,1.93,4.35,141.42,0,1.19,0,0,0,1.28,0,0,0.73,0,0,26.56,0.8,0.58,0,4.26
 72-82,0,0,0,0.71,0,30.06,0,13.03,19.04,0.72,0,0,0,0,0,0,0,0,28.9,0,0,5.29,42.5,0,0,1.61,0,0,0.65,0,0,0,0,0,2.26,0,0.5,0.76,3.9
 84-94,0,0,0,3.51,0.8,16.39,0,0,8.96,1.45,0,0,0,0,0,0,0,0,18.84,0,0,4.74,17.02,0,4.01,0,0,1.53,1.68,0,0,0,0,0,2.14,1.8,0.93,1.09,0
 96-106,0,0,0,2.97,15.89,6.11,3.15,0,13.28,0,0,0,0,0,0.59,2.29,9.82,0,21.11,0,0,2.28,24.61,0,2.21,0.62,0,0,0,0,0,0,0,0,1.69,0,4.15,2.6,1.06
108-118,0,0,0,3.78,0,13.94,0,0.77,12.56,0,0,0,1.24,0.81,0,0,2.49,0,34.82,0,0,7.51,64.38,0,0,0.96,0,1.89,1.33,0,0,0.97,0.53,0,2.85,0.56,2.29,0,0.41
120,0,0,0,8.84,0,12.86,0,1.29,25.77,0,0,0,9.57,0,1.17,0,0,0,28.93,0,0,0,96.7,0,0,0,0,0,0,0,0,0,0,0,2.31,0,2.73,0,0
