stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,10.12,126.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.82,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.78,0,0,0,0,0,0,0,28.69,0,0,15.77,0,0,0,0,0,0
 10-12,0,0,24.06,0,0,0,0,0,0,0,0,0,24.04,0,0,17.55,0,0,0,0,0,0
 14-21,0,0,6.41,1.71,5.87,0.84,0.85,0,0,0,2.49,1.17,9.31,0,0,0,0,0.86,0.85,6.17,6.28,5.33
 24-34,0,0,0,0.63,1.47,1.22,0,0,0,0,0,1.24,8.89,0,0,0,0.84,0,0,0,0,2.67
 36-46,0,0,0,0,12.49,0,0,0,0,0,0,0,7.79,0,0,0,0,0,0,0,0,5.41
 48-58,0,0,0,0,7.12,1.79,0,0,0,0,0,0,10.85,0,0,0,1.2,0,0,0,0,1.92
 60-70,0,0,0,0,18.82,0.81,0,0.81,0,0,0.58,0.6,8.72,6.65,0,0,0,0,1.72,0,0,0
 72-82,0,0,0,0,2.54,1.04,0,0,0,0,0,0,17.76,0.9,0,0,4.21,0,0.64,0,0,0
 84-94,0,0,0,0,9.17,0.55,0,0,0,0,2.78,0,6.02,2.07,0,0,1.36,0,0.67,0,0,0
 96-106,0,0,0,1.69,6.65,0,0.7,0,0,0,2.45,0,17.77,2.57,1.17,0,11.18,0,0,0,0,0
108-118,0,0,0,3.76,3.35,4.48,0,0,2.7,0,0,0,8.02,1.76,0,0,40.34,0,0,0,0,0
120,0,0,0,1.02,6.26,0,0,0,0,1.02,4.87,0,0,0,0,0,2.27,0,0,0,0,0
