stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,muscle,neural,otic,periderm,slow.muscle,spinal.cord
 10-12,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,1.71
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.83,0,6.44,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.99,0,0.59,13.33,0,0,2.57
 48-58,0,0,0,0,0,1.25,0,3.44,0,0,0,2.73,0,0,0,1.75
 60-70,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.62,0,1.09,0,0,0.56,0,0.63,1.14,1.04,1.58,0,1.29,2.88,1.41
 84-94,0,0,0,0,0,0,0,0,0,0,0,0.92,0,10.83,0,0
 96-106,0,0,0,4.48,0,0,1.11,0,0,0,0,1.82,0,2.55,0.6,0
108-118,0,0,0.94,3.78,0,2.38,0,0,0.89,1.45,0,18.75,0,7.65,0,0
120,0,0,0,2.76,1.4,14.58,0,0,0,0,0,3.79,0,18.19,0,0
