stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,mesenchyme,mural.cell,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,361.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.18,167.37,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,10.17,0,0,0
  7-9,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,7.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.42,0,0,0,0,24.52,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.55,0,0
 24-34,0,0,0,3.51,0,0,0,0,0,0,1.45,0,0,0,41.9,0.75,0,0,14.44,0,0
 36-46,0,0,0,4.49,0,2.07,0,0,0,0,0,0,0.75,0,91.93,2.35,0,0,29.32,0,0
 48-58,0,0,0,1.11,0,5.96,0,0.44,0.79,0,0,0,0,0,140.36,2.8,0,0,9.33,0,0
 60-70,0,0,0,0,0,31.73,0,0,2.95,0,0,0,2.55,0,392.82,2.17,0,0.69,28.3,0,0
 72-82,0,0,0,0,0,42.39,0,0,12.61,0,0,0.51,1.63,0,339.11,1.04,0,0,30.18,0,0
 84-94,0,0,0,5.96,3.27,20.35,0,0,0.93,0,0,0,0.86,0,240.53,0,0,0,6.87,0,0.91
 96-106,0,0,1.19,1.26,0,14.7,0,0,3.21,0,0,0,0,1.03,172.43,0,0,0,0,0,0
108-118,0,0,0,2.47,0,22.86,0,0,5.25,0,0,0,2.7,0,237.13,1.1,0,0,4.5,1.81,0
120,0,0,0,0,0,7.36,1.83,0,1.14,0,0,0,0,2.58,135.34,0,0,0,3.65,0,0
