stage,blastomeres,epidermis,eye,fast.muscle,fin.epithelia,glial,immune,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,vasculature
  5-6,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.63,0,0,0,3.29,0,0
 14-21,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0
 24-34,0,0,1.65,0,0,0,0,0,0.89,0,0,0,0,0,0
 36-46,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.73,0,0,3.61,1.12,0,0,0,1.23,0
 60-70,0,0,0,0,0,2.42,0,0,10.98,0,0.57,0,0,0,0
 72-82,0,0,0.88,0,0,0,0,0,1.95,1.8,0,0.59,0,0,0
 84-94,0,0,0,0,0,0.73,0,7.08,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.23,0,0,0,0,0,1.38
108-118,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,0
120,0,9.25,0,0,1.11,0,4.69,0,0,1.11,0,0,0,0,3.52
