stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,108.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.28,202.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,22.01,0,0,7.9,0,0,31.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.93,0,0,0,62.98,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.67,20.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.91,12.74,0,0,41.68,0,0,12.32,0,0,0,0,0,0
 14-21,0,0,0,0.81,16.04,8.03,6.11,0,0,2.53,1.07,1.52,0,0,0,0,0,0,5.58,0,4.25,59.05,2.43,1.87,0.95,1.03,0,9.35,0.85,1.46,14.58,35.21,0,0,0
 24-34,0,0,0,0,3.66,0,2.46,0,1.34,0,1.74,1.22,0.6,0.85,0,0,0,0,2.44,0.61,2.37,69.44,0,2.47,3.38,0,5.46,0,0.63,0,0.65,17.43,0,2.82,0
 36-46,0,0,0,0,12.32,0,8.45,2.12,0,1.84,0,0,0,0,0,0,0.59,1.89,0.74,0,6.65,45.98,0,5.08,2.01,0,28.28,0,0,4.33,0,18.03,0,10.6,0.85
 48-58,0,0,0,0,2.04,0,19.21,0.52,0,0.97,0,0.4,0,7.35,0,0,0,0,0.89,0,0,35.93,0.39,1.09,0,0,18.56,0,0,0,0,5.15,0,0,0
 60-70,0,0,0,0,1.81,0,17.2,0.85,7.88,0,1.93,0.76,0,0,0,0,0,0,0.78,0,0,64.09,0,0,0,0,5.04,0,0,0,0,5.25,0,0,0
 72-82,0,0,0.53,0,0.55,0,33.48,0,0,6.04,2.93,1.15,0,0.53,0,0,1.49,0,1.65,0,0.78,32.98,0,1.64,0.79,0,7.32,0,0,0,0,2.48,0,0.66,0
 84-94,0,0,0,0,0,1.42,22.41,0,0,4.13,0,0,1.58,0.59,0,0.58,0,0,3.78,0,0,31.01,0,1.79,0,0,4.1,0,3.73,0,0,10.53,0.62,0.62,0
 96-106,0,0,0,0,1.77,0,11.65,0,0,5.91,0,0,0.62,0.92,1.02,0,0,0,1.62,0,0.67,6.38,0,0,1.75,0,1.41,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.78,1.18,13.69,0,1.2,0,1.18,0,0.42,0,0,0,0,0,1.32,0,0.79,12.87,0,0.7,0,0,10.86,0,0,0,0,1.92,1.88,0,0
120,0,0,0,0,2.28,1.45,4.05,0,0,0,1.38,0,5.55,0,0,0,0,0,0,0,5.49,13.18,0,0,0,0,3.06,0,0,0,0,1.19,0,0,0
