stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.99,79.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.55,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.01,0,152.93,0,0,0,0,0,0,0,0,34.6,0,0,0,0,0,0,0,0,0,120.78,0,30.58,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.29,0,42.35,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0,0,42.56,6.18,0,0,0,36.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.9,38.84,0,0,0,0,0,0,0,0,6.27,0,0,0,2.17,0,0,0,1.23,0,0,0,0,0,0,0,1.99,0,0,9.73,0
 24-34,0,0,0,0,0.7,30.51,0,0,0,0,0,0,0,21.98,31.88,0,0,0,0.86,6.31,0,0,15.01,0,0,0,0,0,0,0.62,2.6,0,0,129.11,0
 36-46,0,0,0,0,2.4,9.29,0,6.26,0,0,0,0,0,3.23,60.74,0,0,0.72,7.26,19.25,3.96,0,30.77,0,0,0,0,0,0,0,0.96,0,0,127.22,0
 48-58,0,0,0,0,0,21.18,0,0.9,0,0.44,0.69,0,0,6.39,35.93,0,0,10.74,0,13.53,9.5,0.82,14.11,0,0,0.53,0.44,0,0,0,0.82,0,0.49,101.55,0
 60-70,0,0,0,0,1.48,15.6,0,0,0,0,0,0,0,2.35,55.62,0,0,0.61,0,33.97,32.53,0,6.97,0,0,5.59,0,0,0,0,0,0,5.5,111.36,0
 72-82,0,0,0,0,0,166.59,0,10.3,0,0.6,5.56,0,0,11.97,70.42,0,0,7.24,0,39.31,117.81,0.51,18.7,0,0,8.29,0,0,0.54,0,0,0,15.44,232.97,1.73
 84-94,0,0,0,0,0,131.44,0,4.38,1.21,2.32,5.06,0,0,5.61,77.05,0,0,0.89,0,52.51,116.92,0,10.11,0,0,0,0,0,0,0,0,0,24.25,173.14,8.38
 96-106,0,0,0,0,1.42,235.33,0,5.06,0,3.38,1.66,0.63,0,30.16,93.28,0,0,3,7.43,67.73,118.45,0.64,15.44,0,0,20.05,1.19,4.57,0,0,5,0,19.33,187.67,7.18
108-118,0.56,0,1.41,0,1.28,139.91,1.94,3.99,0.85,4.2,6.35,0,0,12.48,103.06,0.95,1.17,2.56,0,51.53,151.5,0,24.79,0.55,0,14.86,0,0.44,0,0,0,3.18,4.7,203.71,0.96
120,0,0,0,0,11.7,151.65,0,16.8,1.11,0,4.23,0,0,29.2,130.25,0,0,0,0,52.07,145.87,3.51,27.42,0,0,21.52,0,0,0,0,0,0,0,174.17,1.8
