stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,69.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6.12,0,0,0,0,0,0,0,2.07,4.41,0,0,0,0,0,0,0,16.93,0,0,0,1.88,0,0,0,0,0,0,0,6.1,0,0,0,0,0
 24-34,0,0,4.29,2.59,0,0,2.84,0,0,0,0.79,0,4.49,0,0,0,0,0,0,1018.13,0,0,5.25,49.21,0,4.09,0,0,2.47,0,1.46,10.18,0,0,52.34,0,0
 36-46,0,0,1.9,0,0,0,11.01,0,0,0,0,0.95,0,0.84,0,0,0,0,0,2878.5,0,0.92,30.29,65.88,0,0,0,0,1.3,0,2.47,18.32,0,0,134.33,0,0
 48-58,0,0,0.42,8.21,0,0,53.59,0,0,5.69,1,0,0,0.92,4.99,0,0,0,4.09,2796.46,0,0,8.35,165.35,4.26,0,0,0,0.55,0,0,42.46,0,0,157.71,0,7.41
 60-70,0,0,0,12.44,0,0,55.82,0,4.13,0,33.44,1.26,0,5.09,0,0,0,0,1.2,3461.27,0,0.64,38.24,155.37,8.71,0,0.91,1.1,8.32,5.08,0,38.37,0,3.91,202.21,0,0
 72-82,0,0,2.48,3.6,0,0,147.1,2.29,0,2.94,15.56,3.64,0,1.86,0,0,0,0.69,0,4567.4,0,1.84,27.45,160.29,3.31,1.93,0,13,6.33,0,0,13.15,0.8,6.35,286.14,3.09,0
 84-94,0,0,1.44,9.48,1.92,0,206.75,0,3.8,5.8,8.29,0,0,1.94,3.92,0,0.74,0.67,0,3511.2,0,0.57,15.94,123.49,0,0,1.84,0,4.83,0,0,9.33,0.56,12.01,295.78,3.22,4.35
 96-106,0,0,0,35,4.73,0,148.77,0,3.2,17.93,29.78,14.62,1.06,0,5.57,0,0,0,0.99,4235.65,4.37,7.12,76.49,273.31,0,0,0,7.88,14.27,8.54,0,5.64,0,9.13,334.9,12.72,0
108-118,0,0,0,3.28,1.35,0.51,53.35,0,1.53,6.88,69.23,6.15,0,0.8,1.26,2.13,0,0.57,0.43,4370.39,0,10.1,77.65,199.99,0,0,17.16,6.89,5.01,0.82,0,0,0,13.45,315.65,1.15,0
120,0,0,0,24.46,20.49,0,178.08,0,0,4.21,29.16,36.26,20.81,25.2,3.81,0,6.44,1.07,1.84,4462.17,1.56,43.54,102.87,286.66,2.11,0,0,0,1.49,12.14,0,0,12.67,7.44,300.52,23.01,0
