stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,9.94,357.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,236.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0
  7-9,3.32,0,0,0,0,0,31.37,0,0,5.01,0,0,0,0,0,0,0,230.19,22.89,0,58.24,0,0,0,0,0,0
 10-12,0,14.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.4,0,0,54.59,0,0,10.89,0,0,0
 14-21,0,0,0,0.9,15.83,5.08,7.48,0,1.19,1.62,0,0,0.81,0.85,4.62,0,1.94,32.62,0,0,0,0,5.95,0,5.87,16.05,0
 24-34,0,0,0.65,0.59,0,0.98,2.33,0,1.16,0,0,0,1.21,0,2.58,0,0,15.37,0,0.68,0,0.65,0,0,0,3.41,1.07
 36-46,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,2.81,0,0,17.57,0,0,0,0,1.78,0,0,13.76,0
 48-58,0,0,0,0,0,0,0.39,0,0,0,0,0,0,0,2.38,0,0.57,6.43,0,0,0,0,0,0,0,0.92,0
 60-70,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,1.37,0,0.61,1.89,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.9,4.86,0,0,0.5,0,0,0,2.62,0,0,3.05,0,0,0,0,0,0,0,0,0.64
 84-94,0,0,0,0,0,0,0,0,0,0.71,0,2.82,1.25,0,2.79,0,0,1.73,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.53,0,0,0,0,0,1.16,0.67,0,1.41,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,14.8,0,0,0,0.61,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,1.14
