stage,axial,blastomeres,endoderm,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,0,27.28,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,87.23,9.08,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.09,0,0,5.76,0,0,0,60.84,3.24,0,14.18,0,0,0,0
 10-12,0,5.25,0,0,0,0,0,17.65,0,0,15.34,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0
 24-34,0,0,0,0.72,0,0.75,0.66,3.59,0,0,0,0,3.24,2.78,0
 36-46,0,0,0,0.7,0,0,0,0,0,0,0,0,2.02,0,0
 48-58,0,0,0,0,0,1.54,0,2.87,0,0,0,0,2,7.78,0
 60-70,0,0,0,0,0,0,0,5.57,0,0,0,1.12,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0
 84-94,0,0,0,3.33,0,0.56,0,2.45,0,0,0,0,0,0,1.97
 96-106,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0.67,0
108-118,0,0,0,0,0,0,0,7.62,0,0,0,0,0,0,0
120,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0
