stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,163.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.77,211.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.9,9.01,0,0,0,18.79,0,0,0,0,0,0,0,150.87,0,0,0,84.03,0,0,0,0,0,0,0,0
 10-12,0,3.32,0,0,4.95,0,13.1,0,0,0,0,0,0,0,222.3,0,0,0,76.72,0,0,19.36,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0.9,10.08,0,0,1.05,0,2.2,1.07,0,0,4.02,0,0,0
 24-34,0,0,0,1.56,0,0,6.47,0,0.63,0,0,0,2.03,0.67,24.89,1,0,0.61,0,0,0,0,0.73,10.87,1.05,0,0
 36-46,0,0,0,0.68,0,0,3.41,0.63,2.08,0,0,0,0.94,0,14.56,0,0.93,0,0,0.78,0,0,0,2.97,0,0,8.59
 48-58,0,0,0,1.19,0,0,16.26,0,2.3,0,0.5,0,3.65,0.43,46.35,0,0,0,0,0,0,0,0,8.14,0,0,0
 60-70,0,0,0,2.06,0,0,5.44,0,0,1.29,0,0,5.36,0,48.17,1.31,1.43,0,0,1.71,0,0,0,11.32,0,0,0
 72-82,0,0,0,0,0,0,8.43,0,1.54,0,0,0,2.69,1.33,13.31,0,0,4.27,0,1.23,0,0,0,0.93,0,0,0
 84-94,0,0,0,0.62,2.37,0,12.47,0,0,0,0,0,9.1,0,4.3,0,0.66,0,0,2.04,0,0,0,0.67,0,2.21,0
 96-106,0,0,0,1.32,0,0,18.22,0.84,0,0,0,0,4.35,0.84,8.76,0,0,1.18,0,0,0,0,0,0,0,0.95,0
108-118,0,0,0,0.53,0,1.13,15.92,0.73,0,0,0,0,2.21,0,19.71,0.45,1.09,0,0,9.85,0,0,0,0,0,0.62,0
120,0,0,0,1.12,0,0,14.56,0,4.48,0,0,2.11,27.64,0,41.31,0,0,0,0,0,0,0,0,0,0,0,0
