stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,96.27,863.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.73,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.57,645.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.61,19.59,0,0,0,0,0,0,0,0,0,0,0
  7-9,33.01,0,0,96.66,0,0,0,25.58,0,0,0,0,0,51.44,0,0,0,0,0,0,0,0,0,0,136.26,12.45,0,0,50.16,0,7.76,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.28,0,62.13,0,0,0,37.39,0,0,0,0,0,20.24,0,0,0,0,0,0,0,0,0,0,254.44,24.32,0,0,51.25,0,10.79,0,3.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13.84,1.44,0,1.74,0,0,0,1.51,0,0,0,2.27,0,0,0,0,4.29,0,0,0,37.73,5.26,0,0,0.87,1.57,0,7.65,0.84,1.32,5.17,9.03,0,0,0,0,0
 24-34,0,0,0,0.59,3.26,0,0,3.55,0,1.36,0.72,0,0,0,1.06,0,0.65,0,0,0.64,5.12,0,0,4.63,55.33,0.81,2.33,0,0,0,0,0,0,0,3.11,20.44,0,0,0,0,0
 36-46,0,0,0,0,2.38,0,0,5.07,1.6,0,0,3.65,0,0,0,0,0,0,0,0,4.7,0,0,2.92,108.37,0,2.25,0,0,0,0.81,0,0,0,0,15.75,0,0,0,0,5.27
 48-58,0,0,0,0,1.75,0,0,35.91,0,0,0,5.81,0,0.48,0.42,0,0,0,0,0.5,9.36,0,1.17,0.4,82.1,0,2.88,2.38,0,0,0,0,0,0,0,20.51,0,0,1.92,0,0
 60-70,0,0,0,0,0,4.85,0,65.48,0,0,0,6.09,0,0,0,0.83,0,0,0,0,11.62,0,0,0.69,107.43,0,3.18,0,0,0.62,0,0,0,0,0,24.04,0,0,5.29,0,0
 72-82,0,0,0,0,0,0,0,48.65,0,0,0,3.49,0,0.52,0.91,0.83,0,0,1.31,0,17.15,0.92,0,0.77,83.43,0,0.93,0.49,0,0,0,0,0,0,0,4.62,0,0,1.8,0,2.26
 84-94,0,0,2.46,0,1.64,0,0,24.17,0,0,0,0.66,3.22,0.64,0,0,0.8,2.01,0.8,0,5.97,0,0.72,2.25,63.08,0,0.76,0,0,4.16,0,0,0,0,0,3.25,3.28,1.04,4.33,0,0
 96-106,0,0,0,0,5.25,0.83,4.27,52.59,0,0,0,5.48,0.7,0,0,0.95,1.66,0,0,0,12.24,0,1.05,3.93,28.6,0,3.67,0.65,0,0,0,0,0,0,0,0,0.71,1.77,3.19,2.47,0
108-118,0,0,0,0,0,0,0,12.07,6.53,0,0.6,2.08,0.88,0,0,3.02,1.56,0,0.81,0,12.05,0,0,0,38.25,0,0.42,0.94,0,0,0,0,0,0,0,0.7,0,0,1.28,1.93,0
120,0,0,0,0,7.9,0,0,13.35,0,2.37,1.85,7.42,10.27,0,0,3.63,6.58,0,4.13,0,21.45,0,1.45,3.16,90.42,0,1.57,0,0,1.22,0,0,0,0,0,0,0,0,9.74,0,0
