stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,78.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.63,0,0,0,0,0,0,0,0,0,0,0,219.82,0,0,0,0,0,0,0,0,0,0,106.06,0,0,0,12.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,22.14,0,5.14,0,14.87,0,0,0,0,0,118.4,0,0,0,0,0,0,0,0,0,0,279.76,0,0,0,15.67,0,0,0,0,6.52,0,0,0,0,0,0,0,0
 14-21,0,0,0.89,58.46,7.95,0,2.75,0,0.88,0,1.06,2.04,4.34,2.23,0,0,0,0,0,1.99,10.83,0,5.56,39.86,0,0,4.8,0,0,0,2.03,4.38,291.47,0,3.18,6.54,0,0,10.02,0,0
 24-34,0,0,0.61,14.17,2.33,0,10.98,0,4.59,0,0,0.68,0,1.85,0,0,0,0,2.04,5.64,14.07,0,3.92,87.19,0,2.39,18.58,0,0,2.35,0,0,1282.3,0.67,0,10.25,0,0,77.44,0,2.41
 36-46,0,0,0,5.54,0,0,8.37,0,3.86,0,0,0,0,0.88,1.56,0,0,1.38,0,4.7,14.5,0,1.26,44.68,1.09,0,27.46,0,0,2.35,0,0,805.56,6.91,0,2.54,0,0,20.1,0,6.13
 48-58,0,0,0,5.21,0.45,0,39.2,0,4.89,0,3.68,0,0,0,0,0,0,2.36,0,5.37,28.22,4.37,1.92,58.67,0,1.06,3.2,0,0,0.68,0,0,450.33,5.84,0,12.33,0,0,30.7,0,1.32
 60-70,0,0,0,1.84,0,0,180.21,0,20.09,0,3.85,1.9,0,6.79,5.71,0,2.8,0.69,1.72,1.24,29.96,1.81,0,41.89,0,0,5.78,0,0,5.16,0,0,293.07,1.41,0,0,0,0,27.82,0,11.11
 72-82,0,0,0,0,4.65,0,120.47,5.34,0.56,2.65,3.21,0,0.52,0.91,1.32,1.25,0,0.6,3.3,1.69,68.19,0,0.52,51.4,0,0,11.79,0,0,0.57,0,0,277.13,0,0,3.46,0,1.73,40.22,1.73,1.89
 84-94,0,0,0,0.59,0,0,91.42,2.26,0,2.87,2.04,2.32,0,0.63,1.55,1.24,0,2.09,0.6,1.7,39.31,0.61,3.69,43.35,0,5.02,12.25,0,2.02,0.66,0,0,396.37,0,0,0,0,0,51.81,0.68,0
 96-106,0,0,0,6.55,10.23,0,41.93,1.28,4.06,0,2.21,0.6,0,0,3.66,6.42,0.85,0,0,5,92.45,0,2.42,30.21,0,4.62,12.99,0,1.51,0.65,0,0,312.48,3.41,0,0,1.14,0.78,39.04,0.91,5.17
108-118,0,0,0,3.61,0,4.79,41.99,0.42,1.65,5.55,7,1.2,0,1.25,1.98,9.51,1.51,3.93,2.13,4.59,96.08,0.94,2.26,41.95,0,0,17.53,0,0,0,0,0,255.75,5.38,0,1.21,0,1.3,12.53,0,1.19
120,0,0,0,33.98,7.49,0,37.02,6.19,1.31,7.45,11.65,0,0,0,0,22.11,0,1.84,0,7.7,52.09,0,0,95.14,0,2.28,16.48,0,0,0,0,0,162.38,0,0,0,0,0,39.4,0,3.63
