stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,19.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.77,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,0.83,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,4.7,0,1.36,2.16,0,0,0,0
 24-34,0,0,0,0,0,2.34,0,0,2.01,0,0,0,0.79,0,1.99,1.85,16.27,1.8,1.85,0,0,0,0,0,0.83,0,0.91,0,0.71,0,0
 36-46,0,0,0,0,0,4.91,0,0,0.61,0,0,2.14,0,0,3.16,0,15.82,0,0,0,0,0,0,0,3.76,0,2.95,0,0,0,0
 48-58,0,0,0,0,0,12.3,0.45,1.57,1.83,2.77,0.52,0,0,0,4.34,0.41,56.91,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0
 60-70,0,0,0,2.09,0,23.7,0,3.4,14.42,1.03,0,2.37,0,0,4.43,1.18,60.46,0,1.56,0,0,0,0,0,0,0,3.09,0,0,0,0
 72-82,0,0.62,0,0.5,0,38.3,0,1.67,29,0,0,0,0,0,7.35,0.49,64.11,0,0,0.51,0,0,0,0,0,0,0,0.97,0,1.46,0
 84-94,0,2.59,1.04,1.01,0,9.28,0,1.48,55.53,0,0,0,0,0,2,2.91,13.36,0,3.11,0,0,0,0,0,1.26,0,0,0,0,0.68,0
 96-106,0,0.87,0,0,6.16,12.33,0,4.86,16.88,1.32,0,2.16,0,1.07,14.73,0,34.65,0,1.74,1.09,0,2.77,0,0,2.81,0,5.89,0,0.88,0.97,9.53
108-118,0,0.76,0,0.67,0,9.37,0,4.89,20.58,0,0,5.61,0,0,4.61,1.2,27.79,0,0,0,0,0,0.43,0,1.35,0,2.67,0.71,0,0,0
120,0,8.98,0,10.07,0,30.31,0,1.07,6.16,0,0,66,0,0,28.42,0,36.64,0,0,0,0,4.59,0,0,0,0,0,0,0,2.94,0
