stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,99.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,9.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.54,0,0,0,9.03,0,0,0,0,9.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.08,9.17,0,0.85,0,0,0,0,1.67,0.85,4.32,0,0,0,21.23,0,0.82,0,0,4.16,7.32,0,0,0,0,0,0,0.86,0.84,0,48.95,7.01,7.77,0,0,22.11,0,0
 24-34,0,0,0,9.66,5.26,0,0.8,0.72,0.64,0,0,0,1.93,15.98,16.18,0,0,6.05,0,8.73,0.62,0,6.62,103.15,0.84,0,1.28,0,0,3.12,0,0,0,8.58,2.32,27.64,0,0,382.22,0,0
 36-46,0,0,0,17.35,7.96,0,18,0,3.36,0.75,5.97,0,0,27.31,23.85,0,0,9.64,0,21.06,0,0,6.63,133.17,1.49,0,0,0,0,0,0,0,0,17.95,0,19.45,0,0,228.81,0,0
 48-58,0,0,0,10.44,0,0,23.58,0,3.44,7.25,25.47,0,2.99,11.45,4.1,0,0,0.41,0,44.87,0,0,14.23,137.22,0,0,0,0,0,3.19,0.65,0,0,15.54,0,35.36,0,0,176.51,0,0.97
 60-70,0,0,5.45,38.54,5,0,153.2,1.06,5.5,0.85,154.77,3.23,1.8,47.08,3.47,1.83,0,0,0,99.85,0,3.4,19.34,213.75,0,0,0,0,23.62,0,0,0,0,6.32,0,64.65,0,4.12,103.99,0,0
 72-82,0,0,1.47,33.61,4.19,0,351.36,1.44,4.5,0.78,216.58,3.49,0.58,22.14,6.76,1.35,0,1.54,0,166.65,1.22,2.69,20.8,194.78,0.73,0.55,0.5,0,17.56,3.64,1.65,0,1.16,4.22,0,4.71,1,2.24,165.93,0,0
 84-94,0,0,0,70.8,1.24,0,387.44,0,29.85,4.83,176.87,8.3,0,46.56,12.54,1.96,1.2,0,0,140.3,0,3.22,5.93,184.8,1.29,1.9,0,0,11.48,23.7,0,0,3.32,4.93,0,13.9,4.38,6.55,178.32,3.29,0
 96-106,0,0,2.03,81.93,2.78,0,417.29,2.95,17.82,3.62,193.45,5.58,0,86.62,17.98,0,0,17.85,0,180.3,2.82,4.55,7.74,145.82,0.75,1.62,0,1.2,20.76,22.06,0,0,0,2.44,0,15.48,13.58,7.7,179.11,5.96,7.08
108-118,0,0,1.48,82.61,0,11.33,482.56,0,41.13,13.63,144.63,13.46,0,79.17,21.74,6.2,0,3.51,0.47,149.31,1.51,11.46,16.28,148.92,0,0.49,4.49,0,32.44,4.04,0,0,1.27,8.87,0,10.09,3.12,0.77,167.19,3.6,0
120,1.12,0,10.11,82.24,0,3.02,456.96,0,22.56,17.3,296.08,28.01,0,69.38,21.9,0,0,0,0,198.21,1.48,17.17,17.71,236.25,1.96,8.55,0,0,26.77,12.31,0,0,0,3.03,0,1.75,3.3,0,58.42,0,0
