stage,epidermis,erythrocytes,gut,mesenchyme,mural.cell,muscle,neural
 14-21,0.81,0,0,0,0,0,10.81
 48-58,0,0,0,0,1.42,0,0
 72-82,0,0,0,0,0,0.94,0
108-118,0,0,0.45,0,0,0,0
120,0,1.31,0,6.06,0,0,0
