stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,21.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.76,0,0,0,5.91,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.18,0,3.07,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,2.14,61.09,0,0,0,0.96,0,0,0.84,5.27,13.43,0,0,0,0,0
 24-34,0,4.7,0.68,6.63,0,0,0,1.43,0,0,0,0,0,0,0,1.75,5.77,0,0,1.31,548.39,0.6,0,1.65,0,0,0,0,0.74,68.23,0,0,0,0,0
 36-46,0,0.66,0,40.65,6.81,0,0.73,7.78,0,0,0,0,0.81,0,0,5.86,3.24,0,0,0,1382.57,0,0,0,0,0,0.84,0,0,107.8,0,0,5.95,0,0
 48-58,0,4.87,0,90.16,0,3.69,2.73,20.67,0,0,3.25,0,5.71,0,6.91,15.41,9.88,0,0,5.16,2381.3,0,1.07,0.54,0,0,0.82,0,0,151.26,0,0,3.07,0,0
 60-70,0,8.02,0,190.63,0,7.51,0,9.37,4.66,0.87,0.6,0,17.36,0,0,0,25.09,0,0,7.64,3730.51,5.04,0,0,0,0,10.67,0,0,293.8,0,0,2.56,0,9.63
 72-82,0,30.12,4.35,335.65,0,1.07,0,34.39,0,0.5,0,0,11.33,0,0,2.54,38.25,0.92,0,5.78,4220.44,0,0,3.34,0,0,5.2,0,0,391.95,0,0,2.89,0,0
 84-94,1.16,11.69,5.04,273.07,1.92,0.56,0,51.07,0,0,0,0.58,7.21,0,0,11.76,30.08,0,0.86,2.52,2360.57,0,0.7,1.22,0,0,0.77,0,0,288.72,0.9,0.84,0,0.89,0
 96-106,0.99,24.78,9.93,227.79,0.67,0,0,46.22,1.49,0,2.32,0.84,7.68,2.1,0,7.67,20.18,0,0,0.92,2217.31,0,0.75,0,0,1.28,16.8,0,0,137.21,0,0,0.72,0.64,0
108-118,0,14.66,0,249.97,0.64,0,3.53,50.57,0.58,0,0,0,10.97,0,0,6.79,33.76,1.14,0,0.92,2591.7,3.15,1.97,0,0,2.27,4.91,0,0,126.94,0,1.46,6.8,0,1.42
120,0,25.29,0,220.24,0,18.87,0,71.11,4.01,13.71,0,0,5.45,0,0,5.46,43.68,0,0,0,3208,0,0,0,0,0,6.8,0,0,67.42,0,0,2.72,10.92,2.59
