stage,axial,blastomeres,epidermis,eye,mesenchyme,neural,periderm
  3-4,52.24,1225.38,0,0,0,0,25.58
  5-6,13.41,426.09,0,0,0,19.62,0
  7-9,0,0,0,0,0,48.99,0
 10-12,0,0,0,0,0,19.83,0
 48-58,0,0,0,0,0.73,0,0
 96-106,0,0,1.61,0,0,0,0
120,0,0,0,2.15,0,0,0
