stage,blastomeres,eye,glial,gut,lateral_line,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,0,12.58,0,0,0,0
 10-12,4.72,4.51,0,0,0,0,0,104.4,0,0,0,0
 14-21,0,0,8.4,0,0,0,0,7.49,0,0.88,0,11.09
 24-34,0,0,1.52,0,0,0,0.86,6.77,5.24,0,2.19,9.2
 36-46,0,0,1.63,0,0,0,0,6.88,1.49,0,0,6.92
 48-58,0,0,4.38,0,0,0,0,9.83,3.81,0,0,6.94
 60-70,0,0,3.17,0,5.4,0,0,9.85,5.13,0,0,5.51
 72-82,0,1.47,4.19,0,0,0,0,1.12,0.53,0,0,0.57
 84-94,0,1.82,8.42,1.45,0,1.23,0.68,3.38,1.66,3.03,0,2.29
 96-106,0,0,3.65,0,0,0,0,4.03,2.99,0,0,0
108-118,0,0,1.38,0,3.02,0,0,3.8,0.96,0,0,0.45
120,0,0,3.28,0,0,0,0,0,0,0,0,0
