stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,75.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.19,0,0,0,0,11.41,0,0,0,3.85,0,0,0,0,0,0,0,0,47.76,0,0,0,3.33,0,0,0,0,0,0,0,0,0
 10-12,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.63,0,0,0,5.89,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0.82,0,1.18,0,0,0,0,0,0,0,0.99,0,0,18.53,2.14,0,0,0,1.12,0,0,2.63,3.29,0,0,0,0
 24-34,0,0.97,0.64,3.8,0,5.46,0,0.66,0,0,0,0,0,0,0,3.77,0,0.94,110.1,0.61,4.06,0,0,2.13,0,0,0,47.05,0,0.77,0,0
 36-46,0,0,0,0.75,0,4.45,0,13.75,0,0,0,0,0,0,0,6.49,0.67,0,59.86,3.23,4.05,0,0,16.85,0,0,0,24.87,0,0,0,1.19
 48-58,0,0,0,2.9,0,10.32,0,12.99,0,0,0,0,0,0,0,7.82,0,5.18,87.18,1.85,2.56,0,0,4.29,0,0.9,0,16.03,0,4.28,0,1.66
 60-70,0,0,0,0,0,35.54,0,10.3,0,0,0,0,0.85,0,0,14.91,0,1.6,56.58,3.29,1.19,0,0,0,0,0,0,13.43,0,0,0,0.72
 72-82,0,0,0,6.14,0,12.69,0,8.98,0,0,0,0,4.27,0,0,12.45,0,0,62.28,0,3.66,0,0,0,0,0,0,10.58,0.75,2.14,0.91,0
 84-94,0,0,0,1.48,4.54,8.35,0,5.62,0,0,1.04,0,1,2.73,4.2,10.5,0,1.63,49.81,0,1.41,0,0,3.67,0.96,0,0,0,0,0,0,0
 96-106,0,5.6,0,0,6.08,22.36,0,3.62,0,0,0,0.71,0.76,0,0,2.9,0.63,0,34.52,0,0,0,0,4.98,0,0,0,2.33,1.27,1.82,1.24,0
108-118,0,0,0,1.49,0,19.57,8.24,11.78,0.68,0,0,0,1.46,0,0,3.85,0,0,32.51,0,0,3.83,0,8.8,0.44,0,0,0,0,0,0,0
120,0,0,0,3.38,0,0,7.8,12,0,0,0,3.1,0,0,0,14.08,0,0,40.16,0,0,1.47,0,2.33,1.12,0,0,3.5,0,0,0,4.77
