stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature,xanthophores
  3-4,10.06,174.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0
  5-6,82.25,1747.47,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,91.5,0,0,0,0,0
  7-9,11.02,13.74,0,38.71,0,47.82,0,0,0,0,3.2,0,0,0,0,0,457.41,0,131.11,0,6.03,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.85,0,0,0,0,0,39.84,0,8.23,0,0,0,0,0,0
 14-21,0,0,0,0,0.91,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,5.89,0,0,0,0,0
 24-34,0,0,0,0,1.03,0.99,0,0,0,0,0,4.27,0,0,0.61,0,4.54,0,0,96.77,0,0,0,0,0
 36-46,0,0,0,0,2.35,0.61,0,0,0,0,0,20.84,0,0,1.46,0,37.59,2,0,249.72,0,1.05,0,0,2.18
 48-58,0,0,0,0,2.11,2.76,1.81,0,0.48,0,8.65,0,0,0.49,2.63,0.5,21.37,2.63,0,195.37,0,2.75,0,0.39,2.84
 60-70,0,0,0,0,8.42,4.79,0,0.86,0,0.85,0,0,0,0,0,0,12.79,0,0,91.53,0,0,0.92,0,0
 72-82,0,0,0.61,0,2.07,2.08,1.88,0,0,0,0.86,2.61,0.74,0,1.99,0,28.37,3.26,0,116.57,0,0,1.12,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.31,0,0,0,0.85,4.58,0,0,18.69,0,0,0,0,0
 96-106,0,0,0,0,5.98,6.79,0,0,0,5.82,0,5.08,2.45,0,2.52,0,12.75,3.49,0,171.38,0,0,0,0,0
108-118,0,0,0,0,7.51,0,2.38,0,0,0.89,0,13.01,0.43,0,0.96,0,4.87,14.05,0,56.68,0,0,3.1,0,0
120,0,0,0,0,26.3,0,8.56,0,0,16.61,0,9.37,2.85,0,0,0,11.35,33.22,0,207.33,0,0,9.35,0,0
