stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
  3-4,71.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.46,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,13.56,0,0,0,0,0,0
 14-21,0,1.69,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,8.19,0
 24-34,0,0,0,0,0.61,0,0,0,0,0,0,103.92,0,1.38,0,0,23.92,2.14
 36-46,0,0.85,0,14.46,0,1.31,0,0,0.96,0,2,170.34,0,0.94,0,0,43.75,0
 48-58,0,0,0,16.65,0,7.39,0,0,8.44,3.05,0,243.67,0,1.31,0,0.4,42.92,0
 60-70,0,0,0,80.76,0,9.99,0,0,0.92,0,0,269.4,0,1.69,0,0,21.13,0
 72-82,0,0,2.39,88.52,0,4.58,1.54,0,0.53,0,0.56,263.49,0,2.33,0,0,50.03,0
 84-94,0,0,0,78.16,0,4.95,0,5.22,0,0,0,192.33,0.74,1.28,0.72,0,21.56,0
 96-106,0,0,0,39.45,0,0,0,0,0,0,0,188.96,0,0.84,0,0,7.3,10.21
108-118,0,0,0,62.45,0,1.27,0,0,1.8,0,0,215.56,0,0.81,0,0.56,3.71,0
120,0,0,0,109.38,0,0,0,0,0,0,0,303.7,0,0,0,0,27.63,0
