stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.84,646.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.25,0,0,0,0,0,0,0,0,0
  5-6,24.9,299.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,7.98,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.35,9.48,19.7,0,0,0,0,0,0,8.65,0,0,0,0,0,0,0,0,211.06,15.84,0,0,61.84,0,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,11.01,14.65,0,0,16.15,0,0,0,11.25,0,0,0,0,0,0,0,0,326.9,0,0,0,34.86,0,0,0,0,13.83,0,0,0,0,0,0
 14-21,0,0,0,0.85,7.03,4.59,0,0,6.93,0,0,0,0,0,0,6.62,0,1.68,149.14,0,0,0,1.52,0,0,0,9.66,0.85,2.68,30.67,0,0,0,0
 24-34,0,0,0,13.48,0,20.75,0,0,13.22,0,0,0,0,0,0,15.27,0,9.46,265.9,0.67,0,0,0,0,0,0,0,0,0,59.23,0,0,0,0
 36-46,0,0,0,6.43,0,44.77,0,0,11.56,0,0,0.64,0,7.84,0,8.93,0,4.02,139.63,0.62,0,3,0,0,1.66,0,0,0,0,35.83,0,0.76,0,0
 48-58,0,0,0,0,0.42,37.45,0,0.56,5.94,0,0.66,0,0,0,0,11.26,7.96,4.32,68.64,0.56,0.51,0,0,0,0,0,0,0,0,15.53,0,1.4,0,0
 60-70,0,0,0,0,0,14.65,0,0.91,9.86,0,0,0,0,0,0,21.87,0.63,0.98,37.66,0.75,0,0,0,0.84,0,0,0,0,0,1.12,0,0,0,0
 72-82,0,0,0,0.71,0,25.07,0,2.65,12.73,0,0,0,0,0,0.88,24.36,0.98,3.01,29.15,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0.53,0
 84-94,0,0,0,0.62,1.3,9.29,0,0,12.58,0,0,0,0,0,0,27.02,0.61,3.72,24.07,0,0,1.8,0,0,0,0,0,0,0,0,0,15.05,0,0
 96-106,0,0,0,0,0,8.64,0,1.53,13.4,0,0,0,0.6,0,0,16.2,0,3.82,28.73,0,0,0.57,0,0,0,0,0,0,0,2.84,1.15,4.84,0,0
108-118,0,0,0,0.74,0,10.53,0.67,0.7,11.78,0,0,1.03,0,0,0.87,23.3,3.16,3.02,53.39,0,0,0.45,0,3.85,0.44,0,0,0,0,0,0,0.59,0.7,0.53
120,0,0,0,0,1.1,20.29,0,0,10.88,0,0,4.99,0,0,0,16.43,10.63,1.67,25.7,0,0,0,0,0,2.85,0,0,0,0,0,3.8,0,0,0
