stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,19.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.61,0,10.88,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,175.79,0,0,0,0,0,0,0,0,0,0,17.05,0,0,0,0,0,0,0,26.53,0,0,0,0
 48-58,0,0,3.98,0,863.47,0,12.97,0,0,3.54,0,0,2.25,0,0.51,86.56,0.56,0,0,0.64,0,0,0,7.07,0,0,0,0
 60-70,0,0,0,0,3071.1,0,0.83,2.49,0,0,0,0,6.13,0,0,47.24,0,0,0,0,0,1.35,0,17.45,0,0,0,0
 72-82,0,0,8.07,0.9,4021.39,0.89,19.88,0,0,0,4.47,0,15.46,0,2.19,113.11,0,0,0,0,0,0,0.77,5.87,0,0,0.93,5.59
 84-94,0,0,6.68,1.3,1872.73,1.75,21.63,1.97,0.85,0,0,0,6.2,6.25,0,74,0,1.04,0,0,1.03,0,0,4.99,0,0,2.32,0
 96-106,0,0,3.56,2.17,1761.25,0,16.51,0,0.58,0.78,0,8.36,8.24,0,1.66,79.32,0,3.1,0,0,0,0,0,1.8,4.97,0.61,0,0
108-118,0,0.57,22.43,0,1386.27,0.48,16.83,0.76,0,0.44,0,1.09,8.78,3.46,0,118.11,0,0,1.96,0,0,0,0,0,0,0.53,0,0
120,0,0,4.08,0,837.14,0,7.5,0,0,0,0,0,8.88,0,0,148.25,0,0,0,0,1.36,0,0,0,0,0,0,0
