stage,blastomeres,endoderm,exocrine.pancreas,eye,fin.epithelia,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,somites
  5-6,41.76,0,0,0,0,0,0,0,13.98,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,12.68,8.25,84.27,0,0,0
 10-12,0,10.87,0,0,0,0,0,0,34.03,43.24,147.35,0,0,5.41
 14-21,0,1.51,0,0,0,0,0,0,0,0,0,4.33,4.61,27.94
 24-34,0,0,0,0,0,0,2.85,0.78,0,0,0,0,1.73,0.76
 36-46,0,0,0,0.68,0,0,1.92,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.31,0,2.18,0,0,0,0,0,0
 96-106,0,0,1.76,0,0,0,0,0,0,0,0,0,0,0
