stage,epidermis,eye,glial,muscle,neural,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  7-9,0,3.38,0,0,0,0,0,0,0,0
 14-21,23.17,0.98,0,0,0,1.06,0.99,2.17,16.93,3.6
 24-34,33.51,0,0.79,0,0,0,1.09,0,2.88,5.94
 48-58,1.25,0,0,0,1.06,0,0,0,0,0
 60-70,0,0,0,0.75,1.01,0,0,0,0,0
 72-82,0,0,0.63,0.58,0,0,0,0,0,0
 96-106,1.8,0,0,2.47,0,0,0,0,0,0
108-118,0.49,0,0,0,0,0,0,0,0,0
