stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,18.51,21.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,9.35,0,0,0,0,0,0,0,0,0,0,0,0,5.51,0,0,10.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,3.54,0,0,0,0,3.24,0,0,0
 14-21,0,0,0,2.08,0,0,0,0,0,0,0,2.97,0,0,0.89,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,3.25,0,0,0,0,0,0,6.31,0,0,8.44,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,3.86,0,0,0,0,0,0,43.34,0,0,5.65,0,0,0,2.85,0,0,2.77,0,0
 48-58,0,0,0,0,8.25,0,0,0,0,0,2.43,42.25,1.13,0,7.13,0,0,0,0.4,0,0,0,0.44,0
 60-70,0,0,0,0,2.55,0,10.87,2.44,0,0,0,75.31,7.91,3.9,22.18,0,0,0,0,0,0,2.33,1.44,0
 72-82,0,0,0,0,18.25,0,3.27,2.19,0,6.84,0,46.07,0,2.74,20.77,0,0.59,0,0,0,0,1.36,12.02,1.66
 84-94,5.55,0,1.04,0,15.63,0,1.83,1.2,0,2.92,0,33.95,0,0,32.71,0,0,0,0,0,0,0,9.17,0
 96-106,0,0,0,0,10.21,0,2.92,0,0,0,0,81.36,2,1.29,20.07,0,0,0,0,0.98,0,0,6.63,1.03
108-118,0,0,0,0,3.23,5.23,2.66,2.59,0.56,0,0,58.46,2.16,0.6,8.03,0,0,0,0,0,0,0,25.67,1.04
120,0,0,0,5.24,19.18,0,0,9.35,0,3.81,0,75.33,0,3.95,54.52,0,0,0,0,0,0,0,7.53,0
