stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,405.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.01,1279.66,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0,0,0,0,0,65.27,0,0,0,10.04,42.16,0,0,0,0,0,0,0,0,0,0,0
  7-9,21.16,20.14,0,21.27,0,0,0,21.7,0,0,0,0,39.32,0,0,0,0,0,0,0,0,0,0,429,13.09,0,0,180.78,0,8.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.19,0,8.32,0,58.38,0,0,0,0,41.87,0,0,0,0,0,0,0,0,0,0,298.11,0,0,0,114.47,6.59,5.62,0,4.43,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14.81,0.84,0,11.13,0,0,0,0.97,61.6,0,12.22,0,0,0,0,0,10.89,0,0.96,39.35,1.62,0,15.24,0,15.54,0,2.34,0.85,0,2.9,2.93,0,0,0,0,0
 24-34,0,0,0,0,7.6,0,0,2.57,0,0,0,0,39.39,1.2,21.89,0,28.91,0,0,2.04,4.93,0,8.58,54.95,0,1.05,530.69,0,8.33,0,0,0,0,2.01,5.55,0,0,0,0,0
 36-46,0,0,0,0,8.89,0,0,5.04,0,0,2.31,0,4.45,0,6.48,0,16.14,0,0,3.89,6.53,0,2.31,147.39,0,0,405.26,0,9.01,0,0,0,0,0,6.99,0,0,0,0,0
 48-58,0,0,0,0,36.39,0,0,18.37,0,0,7.18,0,8.23,0,8.95,0,59.33,0,1.87,11.55,21.87,0.42,2.94,202.15,0,1.95,1308.94,0,17.29,0,0,0,0,0,10.19,0,0.4,2.16,0,0
 60-70,0,0,0,0,11.68,2.2,0,50.17,0.96,0,3.72,0.76,7.8,5.49,22.58,0,142.65,0,10.18,19.97,2.75,0,0,194.27,0,8.25,2100.58,0,11.2,0,0,0,0,0,9.28,0,0,5.33,0,0
 72-82,0,0,0,0,5.15,4.7,0,101.3,0,0,13.49,1.4,3.21,1.09,6.63,0.54,906.75,0,0,42.13,6.75,2.66,4.98,242.05,2.3,0.87,3018.74,0,12.2,0,0,5.59,0,0,2.32,0,0,7.89,1.84,9.07
 84-94,0,0,3.32,0,19.56,0.73,0,47.92,3.93,0,4.8,5.09,0,0.66,7.53,1.05,447.3,1.67,0,14.79,3.93,0.98,0.98,131.34,0,0,5379.41,0,35.95,0,0,0,0,0,6.67,0,0,0,14.14,0
 96-106,0,0,4.23,0,23.11,14.58,1.34,85.88,5.41,3.7,33.19,2.31,1.32,3.45,19.45,2.24,2783.2,3.14,0,60.84,5.76,0.98,4.53,210.15,0,9.04,5934.64,0,35.96,0,0,1,0.57,0,5.36,0,0,7.28,9.14,0
108-118,0,0,0,0,27.36,18.83,5.62,99.12,0.51,0,17.58,6.48,0,7.63,3.21,0,1007.86,2.56,0.51,32.48,4.25,5.86,0.44,254.06,1.89,4.15,3166.73,0,35.9,0,0,0,0,0,3.39,5.05,0,4.96,2.97,0
120,0,0,0,0,70.05,2.73,0,86.66,0,1.66,64.68,6.18,0,9.74,3.57,12.21,1811.78,0,0,83.01,2.36,0,7.26,481.81,0,0,6144.69,0,10.77,0,0,0,0,0,13.12,0,1.52,2.48,23,0
