stage,erythrocytes,eye,immune,liver,paraxial.mesoderm
 10-12,0,0,0,0,4.41
 48-58,0,0.5,0.92,0,0
 60-70,0,0,4.24,0,0
 72-82,0,0,8.82,0,0
 84-94,10.39,0,16.13,0,0
 96-106,4.79,1.73,23.28,1.2,0
108-118,0,0,16.7,0,0
120,0,0,4.56,0,0
