stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,7.25,54.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,32.6,0,0,0,12.2,0,0,0
 10-12,0,7.57,0,0,9.21,0,0,0,0,0,0,0,0,0,0,0,0,40.4,0,0,0,3.14,0,0,0
 14-21,0,0,0,1.06,0,0,0,0,0,1.07,0,0,0,0,0,0,0,41.69,0,0,0,0,0,8.28,1.08
 24-34,0,0,0,0,3.19,0,0,7.1,0,0,0,0,0,0,0,0,1.82,301.9,0,0,3.29,0,0,100.29,0.66
 36-46,0,0,0,0,6.46,0,0,8.58,0,0,0,0,0,0,2.13,0,0,299.77,0,0,0,0,0,198.33,0
 48-58,0,0,0,0,1.62,0,0,11.87,0,0,0,0,0,0,0,2.99,0,81.73,0,0,0.5,0,0,62.54,0
 60-70,0,0,0.57,0,49.26,0,0,6.88,0,0,0,0,0,0,1.15,0,0,38.26,0,0,0.82,0,0,6.43,0
 72-82,0,0,1.86,0,202.7,1.5,0,10.81,0,0,0,0,0,0,3.5,0,0,31.81,0,0,0,0,0,5.58,0
 84-94,0,0,0.63,0,259.66,0,0,0.95,0,0,0,1.04,0,0,5.63,0,0,35.33,0,0,0,0,1.74,5.16,0
 96-106,0,0,6.61,0,533.95,0.86,0,9.74,0,0,0.77,0,5.55,2.22,4.52,0,0,21.21,0,1.44,0,0,1,0,0
108-118,0,0,0.58,5.01,565.1,1.24,0.65,0.81,0,0,0,0,0,3.99,10.48,0,0.72,46.45,0.49,0,0.76,0,0,6.3,0
120,0,0,5.92,0,310.97,1.5,0,21.07,0,2.95,0,0,0,0,0,0,2.81,37.89,2.66,0,0,0,0,0,0
