stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98,0,4.17,2.01,0,0,0,0,0,2.36,0,0,0,0
 24-34,0,0,0.66,0,0.6,1.06,0,0,0,2.74,0,0.79,0,5.16,1.67,16.09,0.64,0,0,0,0,0,6.48,0,0,0,0
 36-46,0,0,0,1.28,0,0,0,0,0,0,0,0,1.15,30.9,0.68,36.18,0,0,0,0,11.03,4.37,8.9,0,0,0,0
 48-58,0,0,0,0,9.88,0,0,0,0,0,0,0,0,15.14,1.58,37.09,0,0,0,0,2.74,0,3.83,0,0,0,0
 60-70,0,0,0,0,69.94,0.76,0,0,0,0,0,0,0,8.93,0,109.13,0,0.83,6.8,0,3.86,0,3.86,0,0,0,2.31
 72-82,0,0,5.9,0,289.77,0,2.87,1.67,0,0,0,0,0,18.8,0,156.7,0,0,2.21,0,0.56,0,1.74,0.87,1.22,0,0
 84-94,0,0,3.05,0,249.63,0,0.6,7.45,0,0,2.18,0,0,5.52,0,113.82,0,0,0,0,0.87,0,7.91,0,0,0,0
 96-106,0,0,5.42,2.02,300.62,0.97,0,7.81,0,0,0,0,5.55,6.01,0,177.71,0,0,0,0,2.19,0.71,6.69,0,0,2.72,8.52
108-118,0,0,1.4,0,301.13,0,0,17.48,0.47,0,0,0,0,4.1,1.08,238.84,0,1.3,0,0.76,0,0,11.18,0,0,0,0
120,0,1.28,0,0,294.72,0,0,10.18,4.64,0,0,0,0,7.46,4.05,344.37,0,0,0,0,1.2,0,0,0,6.45,0,0
