stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,119.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,0,0,0,0,0,0,0,0,0
  7-9,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59,0,0,5.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,14.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,117.94,0,0,0,0,11.24,0,0,0,1.01,0,0,9.03,0,0,0,0,0,2.84,0,0,2.06,0,0,0,49.46,0,0
 24-34,0,1.29,0,1.36,6.35,2.6,0,0,0,14.44,1.56,0,0,0.61,0,0,25.58,0.7,1.59,0,0,0,6.81,0,0,0.7,1.76,0,0,288.68,0,23.27
 36-46,0,0,0,0.92,13.46,1.02,0,0,0,7.86,0,0,0,0,0,0,18.66,0,2.5,0,0,0,0.6,0,0,0,5.5,0,0.85,215.81,0,0
 48-58,0,0,0,0,2.7,5.23,0,0.65,0,27.37,0,0,0,0,0,6.28,44.51,0,0,0,0,0,0.69,0,0,0,5.16,0,0,181.2,0,0
 60-70,0,0,0,0,0,9.71,0,2.8,0,25.98,0,0,0,1.7,0,0,77.98,0,0.84,0,0,0,0,0,0,0,7.68,0,0,184.61,0,0
 72-82,0,0,0,0,0,7.68,0,0,0,27.25,0,0,0,8.48,0,0,87.68,0,2.91,0,0,0,0,0,0,0,5.65,0,0.94,353.83,0,0
 84-94,0,0,0,0,0,27.43,0,0,0,29.86,0.78,0,0,10.57,0,0,100.15,0,0,1.76,0,0,0,0,0,0,0,0,0,306.97,0,0
 96-106,0,1.1,0,0,10.6,38.73,0,0,0,52.62,0,1.5,10.52,13.51,0,1.08,50,0,5.57,0,0,4.67,1.47,0,0,0,4.92,0.87,2.52,328.49,0.65,0
108-118,0,0,0,0,5.15,62.67,2.87,5.51,3.33,26.1,0.42,2.24,1.21,4.37,0,0,93.15,0,1.36,7.39,0,3.53,0,0,1.3,0,0,0,2.34,263.85,0,0
120,0,0,0,6.46,0,84.68,0,0,0,23.19,0,0,0,19.84,6.62,0,153.11,0,0,0,0,10.48,2.81,0,0,0,0,0,0,263.7,0,0
